commune,count,count_per_surfacekm2,count_per100_inhabitants,top5breeds,top5names
Saas-Almagell,11.0,0.1,3.0,Esel Rasse unbekannt  7,
Einsiedeln,303.0,3.1,1.9,"Esel Rasse unbekannt  78, Europäisches Sportpferd Schweiz  62, Islandpferd  39, Freiberger  26, Europäisches Sportpferd Deutschland  19",
Flühli,63.0,0.6,3.4,"Esel Rasse unbekannt  37, Shetland Pony  9",
Hérémence,48.0,0.4,3.3,"Freiberger  16, Esel Rasse unbekannt  8, Shetland Pony  5",
Escholzmatt-Marbach,181.0,1.7,4.2,"Freiberger  65, Shetland Pony  30, Esel Rasse unbekannt  29, Quarter Horse  9, Europäisches Sportpferd Schweiz  8, Pony Schweiz  8",
Onsernone,47.0,0.4,7.1,"Esel Rasse unbekannt  30, Shetland Pony  6",
Göschenen,,,,,
Glarus,78.0,0.8,0.6,"Freiberger  13, Europäisches Sportpferd Schweiz  9, Shetland Pony  8, Maultier  5",
Sumvitg,71.0,0.7,6.4,Esel Rasse unbekannt  66,
Le Chenit,43.0,0.4,0.9,Freiberger  17,
Wassen,,,,,
Serravalle,93.0,1.0,4.5,"Esel Rasse unbekannt  61, Freiberger  10, Araber  6",
Breil/Brigels,52.0,0.5,3.0,"Esel Rasse unbekannt  29, Freiberger  6",
Bex,255.0,2.6,3.3,"Esel Rasse unbekannt  29, Europäisches Sportpferd Schweiz  29, Freiberger  29, Shetland Pony  25, Europäisches Sportpferd Deutschland  21",
Airolo,30.0,0.3,2.0,"Esel Rasse unbekannt  14, Freiberger  7",
Albula/Alvra,84.0,0.9,6.5,"Esel Rasse unbekannt  10, Freiberger  10, Araber  9, Europäisches Sportpferd Schweiz  8, Quarter Horse  6",
Avers,83.0,0.9,50.6,"Islandpferd  34, Freiberger  12, Shetland Pony  8",
Nesslau,100.0,1.1,2.8,"American Miniature Horse  30, Freiberger  15, Esel Rasse unbekannt  12, Islandpferd  7, Pony Schweiz  5, Shetland Pony  5",
Wolfenschiessen,26.0,0.3,1.2,,
Kerns,129.0,1.4,2.0,"Freiberger  23, Esel Rasse unbekannt  19, Shetland Pony  18, Europäisches Sportpferd Deutschland  11, Pony Schweiz  9",
Zürich,302.0,3.4,0.1,"Europäisches Sportpferd Deutschland  49, Shetland Pony  26, Europäisches Sportpferd Schweiz  24, Islandpferd  24, Pura raza española  21",
Simplon,30.0,0.3,10.3,"Freiberger  12, Esel Rasse unbekannt  8",
Disentis/Mustér,89.0,1.0,4.4,Esel Rasse unbekannt  61,
Blatten,5.0,0.1,1.7,,
Bourg-Saint-Pierre,16.0,0.2,7.6,Esel Rasse unbekannt  9,
St. Niklaus,108.0,1.2,4.9,"Shetland Pony  47, Esel Rasse unbekannt  10, Haflinger  9, Freiberger  8, Pony Schweiz  6",
Lugano,175.0,2.3,0.3,"Esel Rasse unbekannt  107, Freiberger  16, Europäisches Sportpferd Schweiz  10, Shetland Pony  8, Pony Schweiz  7",
Adelboden,41.0,0.5,1.2,"Esel Rasse unbekannt  18, Freiberger  12",
Wildhaus-Alt St. Johann,33.0,0.4,1.3,"Esel Rasse unbekannt  15, Freiberger  8",
Riviera,94.0,1.1,2.2,"Esel Rasse unbekannt  34, Europäisches Sportpferd Deutschland  9, Europäisches Sportpferd Schweiz  9, Freiberger  8",
Zwischbergen,5.0,0.1,7.0,Esel Rasse unbekannt  5,
Nendaz,123.0,1.4,1.8,"Esel Rasse unbekannt  55, Freiberger  21, Shetland Pony  14, Pony Schweiz  5",
Giswil,106.0,1.2,2.9,"Islandpferd  21, Shetland Pony  17, Esel Rasse unbekannt  15, Freiberger  10, Haflinger  8",
Conthey,40.0,0.5,0.5,"Freiberger  13, Esel Rasse unbekannt  5",
Luzein,35.0,0.4,2.2,"Esel Rasse unbekannt  11, Freiberger  7",
Gurtnellen,8.0,0.1,1.6,Esel Rasse unbekannt  8,
Unterschächen,,,,,
Realp,,,,,
Boltigen,41.0,0.5,3.3,"Esel Rasse unbekannt  23, Freiberger  6, Shetland Pony  6",
Sarnen,123.0,1.7,1.2,"Freiberger  33, Shetland Pony  18, Esel Rasse unbekannt  13, Europäisches Sportpferd Schweiz  10, Haflinger  7",
Quinto,40.0,0.5,4.0,Esel Rasse unbekannt  24,
Bedretto,,,,,
Flums,139.0,1.8,2.8,"Esel Rasse unbekannt  26, Freiberger  16, Shetland Pony  14, Islandpferd  9, Europäisches Sportpferd Deutschland  7",
Ferrera,,,,,
Engelberg,15.0,0.2,0.4,Shetland Pony  6,
Quarten,27.0,0.4,0.9,"Esel Rasse unbekannt  9, Shetland Pony  7, Freiberger  6",
Zweisimmen,70.0,1.0,2.3,"Freiberger  21, Esel Rasse unbekannt  18, Shetland Pony  8",
Frutigen,156.0,2.2,2.2,"Esel Rasse unbekannt  33, Shetland Pony  25, Freiberger  18, Europäisches Sportpferd Schweiz  15, Pony Schweiz  10",
Haute-Sorne,400.0,5.6,5.6,"Freiberger  174, Europäisches Sportpferd Schweiz  81, Esel Rasse unbekannt  21, Europäisches Sportpferd Deutschland  18, Europäisches Sportpferd Frankreich  17, Shetland Pony  17",
Savièse,65.0,0.9,0.8,"Freiberger  11, Esel Rasse unbekannt  5, Shetland Pony  5",
Obersaxen Mundaun,151.0,2.1,13.0,"Islandpferd  63, Esel Rasse unbekannt  32, Europäisches Sportpferd Deutschland  10, Freiberger  8, Europäisches Sportpferd Schweiz  7",
Winterthur,260.0,3.8,0.2,"Islandpferd  63, Freiberger  51, Shetland Pony  20, Europäisches Sportpferd Deutschland  14, Esel Rasse unbekannt  13",
Leukerbad,,,,,
