year,month,type_of_use,q1,median,q3,mean,std,tot_number_animals
2015,3,Dairy,270,300,333,302,47,10346
2015,4,Beef,295,335,378,338,68,863
2015,4,Dairy,270,302,334,303,49,7751
2015,5,Beef,290,333,376,336,67,694
2015,5,Dairy,266,299,332,300,49,6831
2015,6,Beef,296,336,383,341,73,679
2015,6,Dairy,266,298,331,299,48,7871
2015,7,Beef,292,329,371,332,67,720
2015,7,Dairy,262,292,326,295,47,9758
2015,8,Beef,284,324,364,327,63,685
2015,8,Dairy,256,286,318,289,46,9861
2015,9,Beef,280,319,363,325,68,824
2015,9,Dairy,256,285,317,288,45,9717
2015,10,Beef,279,322,362,322,65,990
2015,10,Dairy,262,291,322,293,45,12166
2015,11,Beef,288,327,371,329,64,968
2015,11,Dairy,265,294,326,297,45,12700
2015,12,Beef,292,333,372,332,67,920
2015,12,Dairy,269,299,331,301,46,9661
2016,1,Beef,303,338,377,341,63,927
2016,1,Dairy,273,304,337,306,48,10808
2016,2,Beef,302,336,380,339,69,985
2016,2,Dairy,275,308,340,309,48,10891
2016,3,Beef,302,340,378,342,66,837
2016,3,Dairy,274,305,339,306,48,9402
2016,4,Beef,298,337,378,340,68,906
2016,4,Dairy,272,304,338,306,49,8539
2016,5,Beef,300,334,380,340,66,827
2016,5,Dairy,271,305,340,306,50,7564
2016,6,Beef,309,344,381,346,62,791
2016,6,Dairy,269,303,338,304,50,7849
2016,7,Beef,298,333,374,338,63,767
2016,7,Dairy,264,298,333,299,50,8624
2016,8,Beef,292,328,367,331,63,725
2016,8,Dairy,260,292,325,294,48,8606
2016,9,Beef,286,325,365,328,62,780
2016,9,Dairy,258,289,324,293,47,9730
2016,10,Beef,288,322,366,326,67,963
2016,10,Dairy,262,291,323,294,46,11749
2016,11,Beef,290,328,365,328,63,1195
2016,11,Dairy,264,294,326,296,46,12470
2016,12,Beef,296,330,372,333,65,865
2016,12,Dairy,268,298,328,299,46,9370
2017,1,Beef,302,334,369,336,60,850
2017,1,Dairy,272,304,337,305,48,10304
2017,2,Beef,304,346,387,346,66,827
2017,2,Dairy,274,307,340,308,48,8745
2017,3,Beef,304,340,380,343,62,849
2017,3,Dairy,274,309,342,309,50,8556
2017,4,Beef,305,343,386,345,64,725
2017,4,Dairy,275,308,340,308,49,6703
2017,5,Beef,302,339,376,341,65,873
2017,5,Dairy,274,308,340,307,49,8060
2017,6,Beef,308,341,382,346,60,865
2017,6,Dairy,273,306,340,307,49,8692
2017,7,Beef,294,330,373,335,65,867
2017,7,Dairy,267,298,332,300,48,10290
2017,8,Beef,292,325,364,330,62,783
2017,8,Dairy,262,292,324,294,47,9044
2017,9,Beef,284,324,364,326,68,817
2017,9,Dairy,261,291,324,294,46,9226
2017,10,Beef,280,322,364,323,68,1051
2017,10,Dairy,264,294,325,296,46,11328
2017,11,Beef,296,334,378,336,65,1187
2017,11,Dairy,269,300,332,301,47,11307
2017,12,Beef,294,332,374,333,65,843
2017,12,Dairy,273,302,335,305,46,8499
2018,1,Beef,307,345,384,347,62,1031
2018,1,Dairy,278,309,342,310,48,11091
2018,2,Beef,311,348,386,348,63,869
2018,2,Dairy,276,310,343,310,49,8006
2018,3,Beef,315,350,390,352,65,975
2018,3,Dairy,280,314,346,314,50,8850
2018,4,Beef,312,347,392,350,65,999
2018,4,Dairy,280,314,348,315,50,8257
2018,5,Beef,310,347,390,349,65,846
2018,5,Dairy,276,310,346,312,51,7224
2018,6,Beef,304,348,392,349,66,791
2018,6,Dairy,274,309,345,310,50,7232
2018,7,Beef,304,338,380,343,63,934
2018,7,Dairy,270,303,338,305,50,10416
2018,8,Beef,292,333,374,335,65,912
2018,8,Dairy,260,290,324,294,48,9997
2018,9,Beef,290,328,374,330,67,784
2018,9,Dairy,260,291,326,295,48,9858
2018,10,Beef,291,332,374,334,66,1144
2018,10,Dairy,262,293,326,296,48,13341
2018,11,Beef,290,336,381,333,73,1142
2018,11,Dairy,266,295,327,298,47,11183
2018,12,Beef,298,338,379,338,68,895
2018,12,Dairy,272,302,336,305,48,9775
2019,1,Beef,308,345,387,348,66,1065
2019,1,Dairy,276,309,342,310,49,10975
2019,2,Beef,308,348,388,348,64,920
2019,2,Dairy,280,313,347,315,50,9158
2019,3,Beef,306,350,392,350,67,892
2019,3,Dairy,281,314,350,316,51,8334
2019,4,Beef,311,353,402,355,71,974
2019,4,Dairy,280,316,351,317,52,8959
2019,5,Beef,308,352,394,350,69,1093
2019,5,Dairy,278,313,349,315,52,8087
2019,6,Beef,308,348,393,349,70,838
2019,6,Dairy,276,312,348,313,52,6481
2019,7,Beef,299,338,380,339,69,944
2019,7,Dairy,272,307,342,309,51,9437
2019,8,Beef,303,337,378,344,66,774
2019,8,Dairy,266,298,334,301,50,8695
2019,9,Beef,292,326,370,332,63,761
2019,9,Dairy,266,295,330,299,48,9211
2019,10,Beef,297,333,376,338,67,1190
2019,10,Dairy,268,298,331,300,47,11716
2019,11,Beef,292,332,376,334,69,1307
2019,11,Dairy,268,299,332,302,48,11889
2019,12,Beef,299,338,381,341,68,1096
2019,12,Dairy,273,304,336,306,47,9382
2020,1,Beef,310,346,387,348,65,1099
2020,1,Dairy,280,311,344,313,48,9913
2020,2,Beef,313,350,388,350,62,929
2020,2,Dairy,280,314,348,315,50,8304
2020,3,Beef,315,356,402,358,66,1029
2020,3,Dairy,281,314,349,316,50,8328
2020,4,Beef,308,352,403,357,72,573
2020,4,Dairy,274,311,348,313,52,4511
2020,5,Beef,321,360,399,359,70,872
2020,5,Dairy,286,324,360,324,53,7041
2020,6,Beef,319,358,402,360,64,1013
2020,6,Dairy,284,321,358,321,52,8557
2020,7,Beef,312,349,395,353,68,896
2020,7,Dairy,276,310,348,312,52,7808
2020,8,Beef,304,343,388,347,64,942
2020,8,Dairy,272,304,340,307,49,9684
2020,9,Beef,293,334,378,337,68,978
2020,9,Dairy,269,300,335,302,48,9419
2020,10,Beef,292,335,376,336,68,1267
2020,10,Dairy,271,302,335,304,48,11184
2020,11,Beef,293,334,380,339,66,1128
2020,11,Dairy,272,302,336,305,48,10003
2020,12,Beef,308,347,387,349,63,1012
2020,12,Dairy,276,307,341,310,49,8209
