event_year,breed_type_mother,min,lower_fence,q1,median,q3,upper_fence,max,tot_number_animals
2020,Dairy,10,10,24,48,75,151.5,169,2642
2020,Meat,10,10,25,47,72,142.5,242,2097
2021,Dairy,10,10,27,49,81,162.0,195,4485
2021,Meat,10,10,26,48,72,141.0,227,3464
2022,Dairy,10,10,32,56,83,159.5,240,5319
2022,Meat,10,10,35,50,75,135.0,238,3778
2023,Dairy,10,10,26,53,83,168.5,228,2998
2023,Meat,10,10,36,60,84,156.0,192,1805
