commune,count,count_per_surfacekm2,count_per100_inhabitants,top5breeds,top5names
Medel (Lucmagn),616.0,4.5,179.1,"Gaemsfarbige_Gebirgsziege  119, Pfauenziege  64, Kreuzung  58, Buendner_Strahlenziege  57, Saanenziege  53",
Kandersteg,67.0,0.5,5.2,"Kreuzung  12, Capra_Grigia  11, Burenziege  10, Pfauenziege  5, Walliser_Schwarzhalsziege  5",
Tujetsch,363.0,2.7,30.7,"Gaemsfarbige_Gebirgsziege  41, Buendner_Strahlenziege  31, Zwergziege  27, Walliser_Schwarzhalsziege  25, Kreuzung  16",
Ilanz/Glion,191.0,1.4,4.0,"Burenziege  64, Gaemsfarbige_Gebirgsziege  32, Kreuzung  17, Stiefelgeiss  16, Buendner_Strahlenziege  15",
Faido,862.0,6.5,30.5,"Nera_Verzascaziege  193, Buendner_Strahlenziege  113, Kreuzung  98, Gaemsfarbige_Gebirgsziege  55, Burenziege  50",
Diemtigen,439.0,3.4,19.5,"Saanenziege  277, Gaemsfarbige_Gebirgsziege  40, Walliser_Schwarzhalsziege  26, Kreuzung  13, Buendner_Strahlenziege  12, Capra_Sempione  12","Edelweiss  5, Larissa  5"
Goms,82.0,0.6,7.1,"Buendner_Strahlenziege  52, Burenziege  17, Kreuzung  6",
Pfäfers,438.0,3.4,28.7,"Kreuzung  73, Walliser_Schwarzhalsziege  59, Gaemsfarbige_Gebirgsziege  40, Saanenziege  25, Kupferhalsziege  22",
Reichenbach im Kandertal,376.0,3.0,10.3,"Saanenziege  101, Gaemsfarbige_Gebirgsziege  79, Burenziege  67, Kreuzung  24, Walliser_Schwarzhalsziege  18",
Val-de-Travers,153.0,1.2,1.4,"Saanenziege  36, Pfauenziege  26, Zwergziege  26, Tauernschecken  22, Gaemsfarbige_Gebirgsziege  12",
Val-de-Ruz,244.0,2.0,1.4,"Kreuzung  92, Buendner_Strahlenziege  72, Zwergziege  43, Gaemsfarbige_Gebirgsziege  9",
Lenk,240.0,2.0,10.4,"Gaemsfarbige_Gebirgsziege  73, Saanenziege  70, Zwergziege  50, Buendner_Strahlenziege  29, Kreuzung  8",
Saanen,289.0,2.4,4.2,"Saanenziege  199, Gaemsfarbige_Gebirgsziege  37, Zwergziege  27, Buendner_Strahlenziege  9, Toggenburgerziege  6",
Pontresina,13.0,0.1,0.6,,
Château-d'Oex,121.0,1.1,3.5,"Saanenziege  42, Gaemsfarbige_Gebirgsziege  22, Kreuzung  15, Zwergziege  9, Buendner_Strahlenziege  6",
Val-de-Charmey,227.0,2.0,8.9,"Gaemsfarbige_Gebirgsziege  135, Saanenziege  23, Pfauenziege  11, Toggenburgerziege  11, Kreuzung  10",
Maggia,210.0,1.9,8.0,"Gaemsfarbige_Gebirgsziege  64, Nera_Verzascaziege  26, Kreuzung  13, Saanenziege  13, Capra_Grigia  12",
Saas-Almagell,112.0,1.0,30.8,"Stiefelgeiss  28, Walliser_Schwarzhalsziege  23, Buendner_Strahlenziege  11, Burenziege  10, Gaemsfarbige_Gebirgsziege  10, Saanenziege  10",
Einsiedeln,521.0,5.3,3.2,"Toggenburgerziege  187, Zwergziege  136, Pfauenziege  41, Burenziege  37, Buendner_Strahlenziege  29","Bella  5, Fiona  5"
Flühli,339.0,3.1,18.5,"Burenziege  78, Saanenziege  74, Kreuzung  54, Toggenburgerziege  54, Gaemsfarbige_Gebirgsziege  23",
Hérémence,137.0,1.3,9.6,"Burenziege  91, Zwergziege  9, Walliser_Schwarzhalsziege  7",
Escholzmatt-Marbach,388.0,3.6,8.9,"Gaemsfarbige_Gebirgsziege  78, Toggenburgerziege  71, Buendner_Strahlenziege  45, Saanenziege  41, Kreuzung  36",
Onsernone,215.0,2.0,32.4,"Nera_Verzascaziege  58, Kreuzung  30, Capra_Grigia  20, Pfauenziege  6",
Göschenen,362.0,3.5,84.6,"Gaemsfarbige_Gebirgsziege  130, Walliser_Schwarzhalsziege  67, Saanenziege  32, Toggenburgerziege  31, Burenziege  21",
Glarus,243.0,2.3,1.9,"Kreuzung  58, Gaemsfarbige_Gebirgsziege  42, Toggenburgerziege  37, Appenzellerziege  21, Buendner_Strahlenziege  13",
