year,month,population,01_years_old,12_years_old,23_years_old,34_years_old,45_years_old,56_years_old,67_years_old,78_years_old,89_years_old,910_years_old,1011_years_old,1112_years_old,1215_years_old
2022,8,Female,110738,53575,47883,37639,32960,26054,18614,12462,6287,3282,1816,1045,1039
2022,9,Female,103153,52587,46964,37009,32571,25332,18094,12092,6133,3161,1781,995,1035
2022,10,Female,103176,52941,47728,36712,32492,25140,18216,12095,6229,3141,1762,997,1037
2022,11,Female,102155,53007,46916,37541,32371,24917,18425,12059,6280,3132,1730,1002,1040
2022,12,Female,99688,53005,42991,37011,30943,26745,19453,12935,7729,3728,1971,1057,1231
2023,1,Female,102328,53998,43560,37501,30903,27004,19551,13180,8103,3854,2027,1118,1241
2023,2,Female,112130,54578,44368,38339,31496,27293,20197,13551,8596,4010,2120,1128,1272
2023,3,Female,117968,54722,45151,40411,31576,27259,20774,14018,9074,4250,2194,1168,1283
2023,4,Female,121164,54792,46114,41229,31248,27032,20658,14056,9159,4312,2153,1163,1280
2023,5,Female,119235,54474,46372,41295,31009,26687,20371,13948,9028,4237,2096,1143,1243
2023,6,Female,113840,53655,46132,40690,30616,26165,20000,13717,8805,4156,2021,1105,1234
2023,7,Female,108751,53228,45644,40208,30174,25641,19587,13475,8609,4061,1948,1062,1195
