commune,count,count_per_surfacekm2,count_per100_inhabitants,top5breeds,top5names
Naters,446.0,3.0,4.3,"Eringer  185, Simmental  62, Braunvieh  55, Highland Cattle  41, Original Braunvieh  30",
Silenen,612.0,4.2,31.4,"Braunvieh  332, Original Braunvieh  104, Grauvieh  59, Kreuzung  55, Holstein  29","Bella  7, Bianca  6, Jana  6, Alma  5, Luna  5"
Mels,4322.0,31.1,49.6,"Braunvieh  2436, Kreuzung  640, Original Braunvieh  431, Holstein  369, Red Holstein  189","Lisa  27, Bella  21, Anna  16, Nina  16, Nora  16"
S-chanf,749.0,5.4,107.5,"Braunvieh  176, Kreuzung  117, Highland Cattle  106, Angus  97, Simmental  84","Gloria  8, Viola  8, Diana  5, Rosi  5"
Rheinwald,1323.0,9.7,230.5,"Braunvieh  668, Kreuzung  219, Angus  147, Original Braunvieh  140, Jersey  60","Luna  9, Lara  8, Nora  8, Bella  7, Hanna  7"
Medel (Lucmagn),364.0,2.7,105.8,"Kreuzung  106, Braunvieh  93, Angus  69, Original Braunvieh  39, Grauvieh  22",
Kandersteg,1103.0,8.2,85.6,"Simmental  508, Swiss Fleckvieh  266, Kreuzung  54, Red Holstein  49, Original Braunvieh  41","Enzian  10, Bella  8, Calanda  6, Edelweiss  6, Fink  6, Mia  6"
Tujetsch,1132.0,8.5,95.7,"Braunvieh  413, Kreuzung  315, Original Braunvieh  62, Angus  57, Holstein  56","Bella  8, Vera  7, Sara  6, Sina  6, Mia  5, Nena  5, Nina  5"
Ilanz/Glion,2682.0,20.1,55.9,"Braunvieh  864, Kreuzung  823, Limousin  249, Original Braunvieh  237, Holstein  129","Sina  14, Paula  10, Bella  9, Lara  9, Luna  9, Nora  9, Ronja  9, Tina  9, Viola  9"
Faido,828.0,6.2,29.3,"Braunvieh  247, Kreuzung  187, Original Braunvieh  95, Grauvieh  60, Angus  58","Luna  8, Carolina  6, Stella  6, Bea  5, Bianca  5, Tina  5"
Diemtigen,6183.0,47.6,274.4,"Simmental  2115, Swiss Fleckvieh  1711, Kreuzung  572, Holstein  481, Red Holstein  449","Diana  27, Gloria  27, Bella  25, Enzian  25, Bianca  24, Edelweiss  24"
Goms,651.0,5.0,56.1,"Braunvieh  253, Original Braunvieh  121, Holstein  70, Kreuzung  69, Galloway  37",Goldi  5
Pfäfers,2123.0,16.5,138.9,"Braunvieh  721, Kreuzung  549, Original Braunvieh  232, Holstein  213, Grauvieh  119","Viola  10, Heidi  9, Nora  9, Bella  8, Gina  8"
Reichenbach im Kandertal,4110.0,32.7,113.0,"Simmental  2016, Swiss Fleckvieh  1055, Kreuzung  301, Limousin  133, Grauvieh  122","Bella  24, Fiona  20, Sina  20, Anemone  19, Bianca  19, Edelweiss  19, Nora  19"
Val-de-Travers,6744.0,54.1,63.7,"Red Holstein  1791, Holstein  955, Swiss Fleckvieh  928, Montbéliarde  706, Angus  558","Bella  18, Gentiane  14, Tulipe  14, Maya  13, Lina  12"
Val-de-Ruz,7202.0,57.9,42.0,"Holstein  1994, Kreuzung  1292, Red Holstein  1226, Angus  1065, Montbéliarde  703","Tina  16, Bella  14, Iris  12, Barbie  11, Fanny  11, Tulipe  11"
