year,month,type_of_use,q1,median,q3,mean,std,tot_number_animals
2022,10,Dairy,593,640,690,643,75,2330
2022,11,Beef,618,663,747,673,84,46
2022,11,Dairy,599,644,696,648,74,2291
2022,12,Beef,651,680,736,696,84,32
2022,12,Dairy,617,662,707,664,73,1049
2023,1,Beef,675,728,803,728,94,30
2023,1,Dairy,613,662,711,665,77,1898
2023,2,Beef,630,712,766,689,120,30
2023,2,Dairy,626,673,726,677,78,1366
2023,3,Beef,669,752,818,734,145,35
2023,3,Dairy,634,682,729,683,76,1313
2023,4,Beef,619,685,732,677,101,38
2023,4,Dairy,621,670,721,674,76,1077
2023,5,Beef,642,694,736,691,93,40
2023,5,Dairy,617,672,730,676,77,1197
2023,6,Beef,642,714,773,705,74,22
2023,6,Dairy,622,668,725,674,80,1040
2023,7,Beef,635,684,766,707,107,25
2023,7,Dairy,605,653,706,659,80,1345
