event_year,breed_type_mother,min,lower_fence,q1,median,q3,upper_fence,max,tot_number_animals
2020,Dairy,10,10,33,48,73,133.0,179,1019
2020,Meat,10,10,34,54,78,144.0,250,10223
2021,Dairy,11,11,37,54,76,134.5,194,2288
2021,Meat,10,10,39,57,80,141.5,263,19840
2022,Dairy,11,11,40,61,82,145.0,269,2674
2022,Meat,10,10,42,62,84,147.0,275,23946
2023,Dairy,11,11,41,64,87,156.0,189,1845
2023,Meat,10,10,42,63,86,152.0,278,12976
