year,month,achal_tekkinger,aegidienberger,american_miniature_horse,anglo_araber,appaloosa,araber,ardenner,bardigiano,berber,bosnisches_gebirgspferd,chevalde_mrens,chevalderace_camargue,clydesdale,comtois,connemara_pony,criollo,curly_horse,dales_pony,dartmoor_pony,englisches_vollblut,esel_american_miniature,esel_amiata,esel_andalusischer_riese,esel_contentin,esel_grand_noirdu_berry,esel_katalanischer_riese,esel_martina_franca,esel_normandie,esel_poitou,esel_ragusana,esel_rasseunbekannt,europisches_sportpferd_belgien,europisches_sportpferd_deutschland,europisches_sportpferd_frankreich,europisches_sportpferd_holland,europisches_sportpferd_irland,europisches_sportpferd_polen,europisches_sportpferd_portugal,europisches_sportpferd_schweiz,europisches_sportpferd_spanien,fell_pony,fjordpferd,freiberger,friesen,haflinger,highland_pony,iberer,irish_cob,islandpferd,kaltblut_rasseunbekannt,kiger_mustang,kleinpferd_deutschland,kleinpferd_schweiz,knabstrupper,lewitzer,lipizzaner,lusitano,mangalarga_marchador,maulesel,maultier,morgan,new_forest_pony,noriker,painthorse,paso,percheron,polopony,pony_schweiz,pottok_pony,purarazaespaola,quarter_horse,rasseunbekannt,rheinisch_deutsches_kaltblut,saddlebred,schwarzwlder_fuchs,shetland_pony,shetland_pony_deutschland,shire_horse,sportpony_deutschland,sportpony_england,sportpony_schweiz,tennessee_walking_horse,tinker,traber,trakehner,undefiniert,vollblutdiverse_herkunft,warlander,welsh_cob,welsh_pony
2017,9,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2017,11,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,1,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,25,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,33.0,0.0,5.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,2,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,29,,,0.0,0.0,0.0,0.0,0.0,31.0,0.0,,0.0,262.0,0.0,16.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
2018,3,0.0,0.0,0.0,0.0,5.0,9.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,54,6.0,5.0,0.0,0.0,0.0,0.0,0.0,103.0,0.0,0.0,0.0,695.0,,26.0,0.0,0.0,7.0,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,6.0,0.0,,6.0,14.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,,0.0,,0.0,0.0,
2018,4,,0.0,7.0,,5.0,12.0,0.0,0.0,,0.0,0.0,0.0,0.0,12.0,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,83,,15.0,0.0,0.0,0.0,0.0,0.0,153.0,0.0,0.0,0.0,640.0,,28.0,0.0,0.0,6.0,8.0,5.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,6.0,0.0,,0.0,9.0,,0.0,0.0,12.0,0.0,,12.0,27.0,,0.0,0.0,50.0,0.0,0.0,0.0,,,0.0,,,,0.0,,0.0,,5.0
2018,5,0.0,0.0,10.0,,,9.0,0.0,0.0,,,0.0,0.0,0.0,28.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,76,5.0,10.0,0.0,0.0,0.0,0.0,0.0,191.0,0.0,0.0,0.0,330.0,,13.0,,0.0,,23.0,5.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,5.0,,0.0,0.0,29.0,,,12.0,25.0,0.0,0.0,0.0,68.0,0.0,0.0,,0.0,6.0,,,,,0.0,,0.0,0.0,
2018,6,0.0,0.0,9.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,,,,0.0,59,,,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,31.0,,,0.0,,,21.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,11.0,,,7.0,14.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,
2018,7,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,50,0.0,,0.0,0.0,0.0,0.0,0.0,19.0,0.0,,,,,,0.0,0.0,0.0,5.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,19.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
