event_year,breed_type_mother,min,lower_fence,q1,median,q3,upper_fence,max,tot_number_animals
2020,Dairy,10,10,12,13,14,17.0,29,493
2020,Meat,10,10,12,13,15,19.5,26,318
2021,Dairy,10,10,12,13,15,19.5,37,1102
2021,Meat,10,10,12,15,23,39.0,39,866
2022,Dairy,10,10,12,13,17,24.5,40,1815
2022,Meat,10,10,13,16,24,40.0,40,1203
2023,Dairy,10,10,12,13,17,24.5,40,1322
2023,Meat,10,10,13,16,24,40.0,40,620
