event_year,breed_type_mother,min,lower_fence,q1,median,q3,upper_fence,max,tot_number_animals
2020,Dairy,10,10,31,53,82,158.5,173,2644
2020,Meat,10,10,32,51,78,148.25,248,2107
2021,Dairy,11,11,37,59,86,159.5,202,4491
2021,Meat,11,11,37,55,81,147.0,241,3468
2022,Dairy,11,11,39,63,91,169.0,251,5328
2022,Meat,10,10,43,63,88,155.5,271,3787
2023,Dairy,11,11,38,63,91,170.5,228,3003
2023,Meat,10,10,49,72,97,169.0,278,1811
