event_year,breed_type_mother,min,lower_fence,q1,median,q3,upper_fence,max,tot_number_animals
2020,Dairy,10,10,28,45,70,133.0,178,1016
2020,Meat,10,10,29,48,73,139.0,244,10200
2021,Dairy,10,10,32,48,71,129.5,178,2286
2021,Meat,10,10,34,50,73,131.5,250,19795
2022,Dairy,10,10,34,53,73,131.5,171,2671
2022,Meat,10,10,35,53,74,132.5,245,23880
2023,Dairy,10,10,35,58,81,150.0,178,1845
2023,Meat,10,10,35,55,76,137.5,240,12965
