commune,count,count_per_surfacekm2,count_per100_inhabitants,top5breeds,top5names
Escholzmatt-Marbach,141.0,1.3,3.2,"European  67, European Shorthair  50, British Shorthair  7",
Onsernone,19.0,0.2,2.9,European  10,
Göschenen,28.0,0.3,6.5,European  24,
Glarus,977.0,9.4,7.8,"European Shorthair  461, European  326, Maine Coon  35, Crossbred  33, European Longhair  21","Luna  12, Nala  11, Kira  9, Leo  8, Lucy  8, Momo  8"
Sumvitg,44.0,0.4,4.0,"European  15, European Shorthair  10, Ragdoll  9",
Le Chenit,299.0,3.0,6.5,"European  179, European Shorthair  35, Maine Coon  30, Crossbred  11, Norwegian Forest Cat  11",
Wassen,8.0,0.1,1.9,,
Serravalle,148.0,1.5,7.1,"European  80, European Shorthair  22, Maine Coon  11, Crossbred  7",
Breil/Brigels,76.0,0.8,4.4,"European  26, European Shorthair  20, Siamese  17, Maine Coon  6",
Bex,758.0,7.9,9.7,"European  535, Maine Coon  42, Crossbred  41, Persian  20, European Shorthair  19","Caline  8, Kiwi  6, Luna  6, Nougat  6, Stella  6"
Airolo,65.0,0.7,4.4,"European  37, Maine Coon  9, European Shorthair  7",
Albula/Alvra,86.0,0.9,6.6,"European  63, European Shorthair  14",
Avers,7.0,0.1,4.3,European  6,
Nesslau,381.0,4.1,10.6,"European  241, European Shorthair  69, British Shorthair  14, Maine Coon  14, Crossbred  7, Norwegian Forest Cat  7","Luna  6, Miro  5"
Wolfenschiessen,77.0,0.8,3.6,"European  49, European Shorthair  13",Luna  5
Kerns,313.0,3.4,4.9,"European  203, European Shorthair  42, Crossbred  14, Maine Coon  11, British Shorthair  8","Luna  7, Nala  7"
Zürich,17107.0,194.6,4.1,"European  5750, European Shorthair  5353, British Shorthair  1131, Crossbred  1006, Maine Coon  554","Luna  223, Nala  125, Leo  113, Mia  100, Mimi  100"
Simplon,,,,,
Disentis/Mustér,77.0,0.8,3.8,"European  39, European Shorthair  20",
Blatten,8.0,0.1,2.7,,
Bourg-Saint-Pierre,7.0,0.1,3.3,European  6,
St. Niklaus,83.0,0.9,3.7,"European  46, European Shorthair  11, Unknown  6, Bengal  5",
Lugano,3646.0,48.1,5.9,"European  1997, European Shorthair  403, Maine Coon  224, Crossbred  124, Ragdoll  94","Luna  49, Mia  33, Romeo  27, Leo  24, Matisse  18"
Adelboden,144.0,1.6,4.3,"European Shorthair  72, European  59",
Wildhaus-Alt St. Johann,244.0,2.8,9.3,"European  156, European Shorthair  60, Crossbred  9, Maine Coon  7",
Riviera,47.0,0.5,1.1,"European  25, European Shorthair  8, Maine Coon  5",
Zwischbergen,0.0,0.0,0.0,,
Nendaz,491.0,5.7,7.2,"European  312, Maine Coon  42, Crossbred  27, British Longhair (Highlander)  18, Persian  12",
Giswil,235.0,2.7,6.4,"European  132, European Shorthair  43, Maine Coon  17, British Shorthair  7","Luna  6, Filou  5, Kira  5"
Conthey,615.0,7.2,6.9,"European  363, Maine Coon  62, Crossbred  41, Ragdoll  31, European Shorthair  16","Luna  8, Nala  7, Gaïa  6"
Luzein,68.0,0.8,4.3,"European  34, European Shorthair  26",
Gurtnellen,19.0,0.2,3.7,"European  11, European Shorthair  5",
Unterschächen,,,,,
Realp,6.0,0.1,4.2,,
Boltigen,16.0,0.2,1.3,European  13,
Sarnen,590.0,8.1,5.6,"European  398, European Shorthair  57, Maine Coon  29, Crossbred  19, British Shorthair  18","Luna  10, Nala  8, Felix  6, Lilly  6, Mia  6, Moritz  6"
Quinto,47.0,0.6,4.7,"European  25, European Shorthair  6",
Bedretto,,,,,
