commune,count,count_per_surfacekm2,count_per100_inhabitants,top5breeds,top5names
Mels,2379.0,17.1,27.3,"Kreuzung  511, Weisses_Alpenschaf  234, Schwarzbraunes_Bergschaf  76, Engadinerschaf  56, Suffolk  54",
S-chanf,733.0,5.3,105.2,"Weisses_Alpenschaf  272, Engadinerschaf  270, Kreuzung  31, Schwarzbraunes_Bergschaf  15, Spiegelschaf  15",
Rheinwald,2722.0,19.9,474.2,"Weisses_Alpenschaf  383, Nolana  346, Kreuzung  130, Schwarzbraunes_Bergschaf  109, Lacaune  45","Fässler  20, Romney  14, Bianca  10, Bea  5, Cheviot  5, Lisa  5, Maria  5"
Medel (Lucmagn),3214.0,23.6,934.3,"Weisses_Alpenschaf  733, Buendner_Oberlaender_Schaf  184, Engadinerschaf  157, Kreuzung  131, Schwarzbraunes_Bergschaf  127",Armin  9
Kandersteg,1572.0,11.7,122.0,"Schwarzbraunes_Bergschaf  349, Kreuzung  214, Weisses_Alpenschaf  131, Braunkoepfiges_Fleischschaf  114, Suffolk  80","Weiss  10, Schwarz  8, Jürg  6"
Tujetsch,441.0,3.3,37.3,"Weisses_Alpenschaf  176, Engadinerschaf  80, Jakobsschaf  69, Kreuzung  44, Dorper  42",
Ilanz/Glion,977.0,7.3,20.4,"Weisses_Alpenschaf  421, Kreuzung  84, Suffolk  34, Buendner_Oberlaender_Schaf  31, Engadinerschaf  22",Lina  5
Faido,487.0,3.7,17.3,"Kreuzung  221, Texel  40, Weisses_Alpenschaf  29, Engadinerschaf  10, Buendner_Oberlaender_Schaf  9",
Diemtigen,2817.0,21.7,125.0,"Weisses_Alpenschaf  525, Kreuzung  405, Spiegelschaf  324, Braunkoepfiges_Fleischschaf  170, Schwarzbraunes_Bergschaf  119",
Goms,1803.0,13.9,155.4,"Walliser_Schwarznasenschaf  1044, Nolana  274, Suffolk  124, Kreuzung  112, Weisses_Alpenschaf  76","Hari  21, Stella  7"
Pfäfers,2414.0,18.8,158.0,"Kreuzung  523, Lacaune  362, Engadinerschaf  123, Schwarzbraunes_Bergschaf  104, Spiegelschaf  96, Weisses_Alpenschaf  96",
Reichenbach im Kandertal,4872.0,38.7,133.9,"Braunkoepfiges_Fleischschaf  1172, Schwarzbraunes_Bergschaf  659, Kreuzung  493, Charollais_Suisse  305, Weisses_Alpenschaf  233","Anna  12, Lisa  11, Sina  10, Luna  9, Ella  8"
Val-de-Travers,268.0,2.1,2.5,"Schwarzbraunes_Bergschaf  59, Kreuzung  34, Charollais_Suisse  27, Suffolk  27, Weisses_Alpenschaf  12",
