year,1,2,3,4
2016,16811,10972,2847,1563
2017,16929,13722,3714,2266
2018,16755,15062,4170,2613
2019,16177,16166,4107,3084
2020,16548,16192,4404,3501
2021,15861,15560,4548,3737
2022,15563,15164,4251,3243
2023,13922,3786,972,276
