year,month,ai,ar,be,bl,fl,fr,gl,gr,ju,lu,ne,nw,ow,sg,so,sz,tg,ti,ur,vd,vs,zg,zh,
2012,8,32.0,30.0,295.0,,,99.0,40.0,183.0,21.0,40.0,21.0,24.0,60.0,119.0,9.0,105.0,0.0,45.0,28.0,179.0,91.0,,,39.0
2012,9,10.0,23.0,239.0,,,74.0,30.0,170.0,6.0,39.0,27.0,13.0,45.0,45.0,7.0,81.0,0.0,30.0,40.0,201.0,110.0,,0.0,14.0
2012,10,0.0,,52.0,,,30.0,0.0,39.0,21.0,7.0,,,8.0,0.0,7.0,12.0,0.0,13.0,0.0,94.0,85.0,0.0,0.0,
2012,11,0.0,0.0,5.0,0.0,0.0,,0.0,,,0.0,0.0,,0.0,,,0.0,0.0,,,6.0,16.0,0.0,0.0,0.0
2012,12,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
2013,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2013,2,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2013,3,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,4,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2013,5,,5.0,12.0,,0.0,18.0,0.0,5.0,7.0,,0.0,0.0,,0.0,,,0.0,,0.0,19.0,,0.0,0.0,0.0
2013,6,17.0,9.0,105.0,0.0,0.0,40.0,21.0,80.0,,9.0,15.0,11.0,16.0,44.0,,37.0,0.0,12.0,6.0,68.0,20.0,,0.0,
2013,7,15.0,16.0,223.0,0.0,7.0,73.0,29.0,169.0,8.0,28.0,14.0,16.0,60.0,73.0,9.0,88.0,0.0,25.0,46.0,168.0,50.0,,0.0,10.0
2013,8,18.0,20.0,328.0,5.0,0.0,86.0,39.0,215.0,8.0,36.0,20.0,22.0,63.0,109.0,9.0,103.0,0.0,32.0,48.0,158.0,110.0,6.0,0.0,17.0
2013,9,13.0,30.0,288.0,,0.0,99.0,34.0,175.0,10.0,33.0,10.0,18.0,64.0,44.0,9.0,87.0,0.0,22.0,37.0,257.0,132.0,,0.0,7.0
2013,10,0.0,0.0,63.0,,0.0,31.0,,37.0,16.0,6.0,,,15.0,,,7.0,0.0,15.0,,90.0,113.0,0.0,0.0,
2013,11,0.0,0.0,10.0,0.0,0.0,6.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,0.0
2013,12,0.0,0.0,6.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
2014,1,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
2014,2,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,3,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2014,4,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,5,,0.0,27.0,,0.0,23.0,,7.0,7.0,,,0.0,5.0,,,10.0,0.0,,,34.0,,0.0,0.0,
2014,6,7.0,14.0,144.0,0.0,,92.0,23.0,104.0,6.0,33.0,7.0,15.0,24.0,69.0,9.0,41.0,0.0,12.0,18.0,107.0,22.0,0.0,0.0,
2014,7,19.0,23.0,259.0,0.0,8.0,86.0,44.0,213.0,9.0,53.0,15.0,27.0,51.0,103.0,,101.0,0.0,29.0,46.0,205.0,54.0,,0.0,10.0
2014,8,15.0,23.0,354.0,0.0,5.0,116.0,47.0,287.0,12.0,43.0,16.0,30.0,54.0,147.0,12.0,115.0,0.0,33.0,49.0,241.0,99.0,,,17.0
2014,9,5.0,18.0,310.0,,,101.0,50.0,193.0,12.0,21.0,17.0,29.0,52.0,95.0,7.0,75.0,0.0,15.0,44.0,213.0,189.0,,,11.0
2014,10,0.0,0.0,49.0,0.0,0.0,33.0,0.0,48.0,13.0,0.0,7.0,,8.0,0.0,,,0.0,19.0,,68.0,75.0,0.0,0.0,7.0
2014,11,0.0,0.0,9.0,0.0,0.0,6.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,,0.0,0.0,
2014,12,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0
2015,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,2,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,4,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,5,,,12.0,0.0,0.0,16.0,,,,,,,5.0,,7.0,5.0,0.0,0.0,0.0,22.0,,0.0,,
2015,6,10.0,6.0,132.0,0.0,,42.0,28.0,115.0,,37.0,9.0,14.0,36.0,74.0,,45.0,0.0,25.0,14.0,121.0,19.0,0.0,,11.0
2015,7,15.0,20.0,219.0,,,109.0,36.0,193.0,16.0,61.0,13.0,35.0,65.0,126.0,5.0,119.0,0.0,35.0,50.0,176.0,52.0,0.0,,40.0
2015,8,38.0,23.0,355.0,0.0,,115.0,37.0,303.0,18.0,62.0,17.0,22.0,66.0,139.0,10.0,93.0,0.0,34.0,44.0,222.0,96.0,,0.0,23.0
2015,9,13.0,12.0,220.0,,,86.0,38.0,185.0,10.0,38.0,11.0,13.0,51.0,97.0,,92.0,0.0,39.0,49.0,182.0,176.0,5.0,0.0,18.0
2015,10,,,49.0,,,25.0,0.0,38.0,5.0,,6.0,,9.0,,0.0,8.0,0.0,16.0,,27.0,27.0,0.0,0.0,8.0
2015,11,0.0,0.0,,0.0,0.0,7.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0
2015,12,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2016,1,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2016,2,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,3,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,4,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
