year,month,,ad,ae,af,ag,al,am,an,ao,ar,as,at,au,az,ba,be,bg,bj,bl,bm,bo,br,bs,by,ca,cd,cf,cg,ci,cl,cm,cn,co,cr,cu,cv,cy,cz,de,dj,dk,dm,do,dz,ec,ee,eg,es,fi,fj,fr,ga,gb,gd,ge,gf,gg,gh,gi,gl,gm,gn,gp,gr,gt,hk,hn,hr,ht,hu,id,ie,il,in,ir,is,it,je,jo,jp,ke,kh,kn,ko,kr,kw,ky,kz,lb,lk,lt,lu,lv,ly,ma,mc,md,me,mf,mg,mk,ml,mm,mn,mq,mt,mu,mw,mx,my,mz,na,ng,ni,nl,no,np,nz,om,pa,pe,pf,ph,pk,pl,pr,pt,py,qa,re,ro,rs,ru,rw,sa,sc,sd,se,sg,si,sk,sn,sv,sz,tc,td,tg,th,tn,tr,tt,tv,tw,tz,ua,ug,us,uy,uz,ve,vg,vi,vn,za,zm,zw
2016,11,13.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,18,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,8.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,6.0,94,0.0,,0.0,,0.0,0.0,0.0,0.0,23.0,,0.0,84,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,8.0,0.0,,0.0,0.0,0.0,0.0,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,5.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,31,0.0,0.0,0.0,,8.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0,0.0,0.0,,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2016,12,78.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,20,,0.0,,,,0.0,0.0,,0.0,9.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,13.0,128,0.0,6.0,0.0,,0.0,0.0,0.0,0.0,28.0,,0.0,88,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,41,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,64,0.0,0.0,0.0,,5.0,5.0,0.0,0.0,0.0,0.0,7.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,,,0.0,0,0.0,0.0,,0.0,30.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,1,51.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,18,,0.0,0.0,8.0,5.0,0.0,0.0,0.0,0.0,,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,108,0.0,0.0,0.0,,0.0,0.0,0.0,,19.0,,0.0,104,0.0,11.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,6.0,0.0,,,0.0,,0.0,0.0,0.0,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,28,,0.0,0.0,,8.0,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0,0.0,0.0,,0.0,12.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2017,2,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,,0.0,0.0,,,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,87,0.0,0.0,0.0,0.0,,0.0,0.0,,26.0,,0.0,47,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,7.0,0.0,,,0.0,0.0,0.0,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,22,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2017,3,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,23,,0.0,,,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,,95,0.0,5.0,,7.0,0.0,0.0,,,19.0,0.0,0.0,84,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,5.0,0.0,16.0,0.0,7.0,0.0,0.0,0.0,0.0,64,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,10.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,6.0,0.0,37,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,,0.0,0,0.0,0.0,,0.0,23.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,4,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,,0.0,,5.0,,0.0,0.0,0.0,0.0,,0.0,,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,93,0.0,,0.0,,0.0,0.0,0.0,0.0,14.0,0.0,0.0,60,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,18.0,0.0,,0.0,0.0,0.0,0.0,43,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,15.0,,0.0,0.0,0.0,,,,,0.0,,0.0,28,0.0,0.0,0.0,,7.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2017,5,15.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,129,0.0,,0.0,,0.0,0.0,0.0,0.0,37.0,,0.0,63,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,12.0,0.0,6.0,0.0,0.0,0.0,0.0,38,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,34,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,6,31.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,7.0,0.0,,,,0.0,,0.0,0.0,5.0,0.0,0.0,7.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,124,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,40.0,,0.0,76,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,47,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,7.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,63,0.0,0.0,0.0,,5.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2017,7,11.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,13,,0.0,,6.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,129,0.0,,0.0,0.0,0.0,,0.0,0.0,29.0,5.0,0.0,65,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,14.0,0.0,,5.0,0.0,0.0,0.0,33,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,7.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,64,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0,,0.0,35.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
2017,8,42.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,22,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,6.0,117,0.0,,0.0,0.0,0.0,0.0,,0.0,25.0,,0.0,59,0.0,21.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,11.0,0.0,,0.0,0.0,0.0,0.0,61,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,9.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,5.0,0.0,49,0.0,0.0,0.0,,5.0,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
