commune,count,count_per_surfacekm2,count_per100_inhabitants,top5breeds,top5names
Faido,379.0,2.9,13.4,"Kreuzung  92, Border Collie  29, Chihuahueno  23, Golden Retriever  23, Labrador Retriever  23","Luna  8, Mia  7, Zara  6"
Diemtigen,203.0,1.6,9.0,"Kreuzung  57, Border Collie  17, Appenzeller Sennenhund  10, Labrador Retriever  8, Chihuahueno  7, Deutscher Schaferhund  7, Jack Russell Terrier  7",Luna  6
Goms,94.0,0.7,8.1,"Kreuzung  20, Border Collie  7, Labrador Retriever  5",
Pfäfers,163.0,1.3,10.7,"Kreuzung  58, Border Collie  12, Deutscher Schaferhund  6",
Reichenbach im Kandertal,284.0,2.3,7.8,"Kreuzung  77, Labrador Retriever  19, Border Collie  17, Australian Shepherd  12, Appenzeller Sennenhund  11",Luna  5
Val-de-Travers,1093.0,8.8,10.3,"Kreuzung  176, Chihuahueno  77, Jack Russell Terrier  60, Labrador Retriever  56, Border Collie  51","Luna  14, Bella  7, Laïka  7, Loki  6, Joy  5, Kira  5, Louna  5, Lucky  5, Nala  5, Nina  5, Zoé  5"
Val-de-Ruz,1496.0,12.0,8.7,"Kreuzung  278, Chihuahueno  85, Jack Russell Terrier  71, Labrador Retriever  70, Franzosische Bulldogge  58","Luna  15, Nala  10, Lucky  8, Marley  8, Rocky  8, Snoopy  8"
Lenk,139.0,1.1,6.0,"Kreuzung  42, Border Collie  25, Labrador Retriever  10",
Saanen,577.0,4.8,8.4,"Kreuzung  133, Jack Russell Terrier  29, Labrador Retriever  27, Border Collie  25, Chihuahueno  18",Luna  15
Pontresina,164.0,1.4,7.5,"Kreuzung  46, Zwerg-Dachshund  7, Chihuahueno  6, Golden Retriever  6, Cavalier King Charles Spaniel  5, Siberian Husky  5, Zwergpudel  5",
Château-d'Oex,245.0,2.2,7.0,"Kreuzung  35, Border Collie  19, Labrador Retriever  12, Chihuahueno  11, Golden Retriever  10, Weisser Schweizer Schaferhund  10",
Val-de-Charmey,276.0,2.5,10.8,"Kreuzung  39, Border Collie  33, Berner Sennenhund  25, Siberian Husky  14, Yorkshire Terrier  13",
Maggia,356.0,3.2,13.6,"Kreuzung  114, English Setter  22, Border Collie  20, Chihuahueno  13, Labrador Retriever  12",Leo  5
Saas-Almagell,36.0,0.3,9.9,,
Einsiedeln,928.0,9.4,5.7,"Kreuzung  274, Labrador Retriever  59, Chihuahueno  31, Bolonka Zwetna  28, Border Collie  28","Kira  11, Luna  11, Rocky  9, Gina  7, Laika  6"
Flühli,161.0,1.5,8.8,"Kreuzung  55, Entlebucher Sennenhund  12, Labrador Retriever  8, Chihuahueno  6, Schweizer Laufhund  6","Luna  8, Nero  5"
Hérémence,150.0,1.4,10.5,"Kreuzung  29, Border Collie  13, Siberian Husky  10, Schweizer Laufhund  7, Australian Shepherd  6, Berger de Beauce  6, Collie rough  6",
Escholzmatt-Marbach,428.0,4.0,9.8,"Kreuzung  144, Entlebucher Sennenhund  36, Labrador Retriever  35, Schweizer Laufhund  25, Berner Sennenhund  24","Luna  15, Bäri  8, Kira  6, Laika  6, Leika  6"
Onsernone,118.0,1.1,17.8,"Kreuzung  37, English Setter  8, Chihuahueno  5, Franzosische Bulldogge  5, Jack Russell Terrier  5, Labrador Retriever  5, Pug  5",
Göschenen,22.0,0.2,5.1,Border Collie  7,
Glarus,664.0,6.4,5.3,"Kreuzung  222, Chihuahueno  36, Labrador Retriever  29, Yorkshire Terrier  22, Golden Retriever  21","Luna  9, Nala  9, Charly  7, Laika  5, Lou  5"
Sumvitg,72.0,0.7,6.5,Kreuzung  16,
Le Chenit,360.0,3.6,7.8,"Kreuzung  70, Border Collie  20, Yorkshire Terrier  20, Chihuahueno  16, Franzosische Bulldogge  14",
Wassen,30.0,0.3,7.3,Kreuzung  7,
Serravalle,312.0,3.2,15.0,"Kreuzung  100, Border Collie  20, Chihuahueno  15, Jack Russell Terrier  15, Labrador Retriever  13","Luna  9, Kira  5"
Breil/Brigels,135.0,1.4,7.8,"Kreuzung  43, Border Collie  16, Labrador Retriever  9",
Bex,833.0,8.6,10.6,"Kreuzung  154, Deutscher Schaferhund  58, Yorkshire Terrier  50, Chihuahueno  46, Jack Russell Terrier  33","Luna  14, Lola  8, Snoopy  8, Nala  7, Nina  7"
Airolo,134.0,1.4,9.1,"Kreuzung  33, Border Collie  13, English Setter  7, Jack Russell Terrier  7, Chihuahueno  6, Golden Retriever  6, Labrador Retriever  6",
Albula/Alvra,173.0,1.8,13.4,"Kreuzung  42, Labrador Retriever  16, Chihuahueno  11, Border Collie  10, Parson Russell Terrier  8",
Avers,18.0,0.2,11.0,,
Nesslau,367.0,4.0,10.2,"Kreuzung  139, Appenzeller Sennenhund  35, Border Collie  15, Chihuahueno  9, Labrador Retriever  9, Parson Russell Terrier  9",Luna  9
Wolfenschiessen,106.0,1.1,5.0,"Kreuzung  30, Border Collie  12, Labrador Retriever  6, Jack Russell Terrier  5",
Kerns,372.0,4.0,5.9,"Kreuzung  84, Appenzeller Sennenhund  41, Labrador Retriever  27, Chihuahueno  15, Border Collie  14","Bless  6, Kira  6, Leika  6"
Zürich,9742.0,110.8,2.3,"Kreuzung  2551, Chihuahueno  472, Labrador Retriever  419, Zwergspitz / Pomeranian  365, Franzosische Bulldogge  357","Luna  107, Coco  49, Bella  45, Nala  45, Rocky  44"
Simplon,13.0,0.1,4.5,,
Disentis/Mustér,125.0,1.4,6.2,"Kreuzung  20, Cane da Pastore Maremmano Abruzzese  11, Border Collie  8, Golden Retriever  8, Kangal Coban Kopegi  8",
Blatten,10.0,0.1,3.4,,
Bourg-Saint-Pierre,36.0,0.4,17.1,Border Collie  10,
St. Niklaus,149.0,1.7,6.7,"Kreuzung  32, Chihuahueno  9, Labrador Retriever  9, Border Collie  8, Golden Retriever  7",Luna  5
Lugano,4798.0,63.3,7.7,"Kreuzung  1149, Chihuahueno  333, Zwergpudel  236, Zwerg-Dachshund  181, Maltese  174","Mia  60, Luna  59, Kira  46, Leo  33, Lola  29"
Adelboden,161.0,1.8,4.8,"Kreuzung  50, Border Collie  10, Siberian Husky  10, Labrador Retriever  6, Jack Russell Terrier  5",
Wildhaus-Alt St. Johann,276.0,3.2,10.5,"Kreuzung  102, Alaskan Husky  29, Border Collie  25, Appenzeller Sennenhund  16, Labrador Retriever  9","Gina  6, Luna  6, Rocky  5"
Riviera,565.0,6.5,13.3,"Kreuzung  160, Chihuahueno  46, Labrador Retriever  26, Yorkshire Terrier  22, Golden Retriever  20","Luna  10, Jack  6, Lucky  5, Nina  5, Stella  5, Zeus  5"
Zwischbergen,,,,,
Nendaz,672.0,7.8,9.9,"Kreuzung  120, Labrador Retriever  35, Border Collie  32, Chihuahueno  32, Yorkshire Terrier  25","Luna  8, Lola  5, Max  5, Pixel  5"
Giswil,291.0,3.4,7.9,"Kreuzung  92, Golden Retriever  14, Appenzeller Sennenhund  13, Labrador Retriever  13, Yorkshire Terrier  12","Bella  5, Kira  5"
Conthey,774.0,9.1,8.7,"Kreuzung  129, Yorkshire Terrier  68, Chihuahueno  46, Zwergspitz / Pomeranian  39, Australian Shepherd  31","Lucky  10, Luna  10, Rocky  8, Bella  5, Cookie  5, Nala  5, Naya  5, Snoopy  5"
Luzein,122.0,1.5,7.6,"Kreuzung  42, Border Collie  10, Labrador Retriever  7",
Gurtnellen,55.0,0.7,10.7,"Kreuzung  16, Border Collie  5",
Unterschächen,41.0,0.5,5.9,Kreuzung  21,
Realp,9.0,0.1,6.3,,
Boltigen,113.0,1.5,9.0,"Kreuzung  49, Border Collie  7, Berner Sennenhund  5",
Sarnen,587.0,8.0,5.6,"Kreuzung  139, Appenzeller Sennenhund  33, Labrador Retriever  33, Border Collie  28, Zwergpudel  20","Luna  10, Bella  6, Jimmy  5, Nala  5, Stella  5"
Quinto,112.0,1.5,11.3,"Kreuzung  32, Border Collie  10, Maltese  8, Chihuahueno  7, English Setter  5",
Bedretto,20.0,0.3,19.6,,
Flums,405.0,5.4,8.2,"Kreuzung  149, Border Collie  20, Siberian Husky  16, Labrador Retriever  15, Chien de Berger Belge  12","Luna  6, Gina  5"
Ferrera,13.0,0.2,16.5,,
Engelberg,209.0,2.8,5.0,"Kreuzung  46, Labrador Retriever  12, Zwergpudel  9, Border Collie  8, Jack Russell Terrier  7",
Quarten,250.0,4.0,8.4,"Kreuzung  77, Chihuahueno  18, Golden Retriever  10, Border Collie  9, Berner Sennenhund  7, Jack Russell Terrier  7, Labrador Retriever  7",
Zweisimmen,265.0,3.6,8.7,"Kreuzung  69, Border Collie  20, Labrador Retriever  19, Jack Russell Terrier  9, Zwergpudel  9",Luna  5
Frutigen,476.0,6.6,6.8,"Kreuzung  147, Labrador Retriever  29, Border Collie  26, Chihuahueno  21, Appenzeller Sennenhund  14, Golden Retriever  14","Luna  10, Kira  6, Rocky  6, Sina  5"
Haute-Sorne,1041.0,14.7,14.5,"Kreuzung  269, Border Collie  47, Jack Russell Terrier  45, Siberian Husky  32, Yorkshire Terrier  31","Nala  10, Luna  8, Rocky  7, Snoopy  7, Tina  7"
Savièse,680.0,9.6,8.6,"Kreuzung  80, Siberian Husky  54, Chihuahueno  42, Yorkshire Terrier  35, Border Collie  28","Lola  6, Luna  6, Balou  5, Rocky  5"
Obersaxen Mundaun,119.0,1.7,10.2,"Kreuzung  45, Border Collie  14, Labrador Retriever  6, Siberian Husky  6, Yorkshire Terrier  6",
Winterthur,3713.0,54.5,3.3,"Kreuzung  1115, Chihuahueno  222, Labrador Retriever  195, Zwergspitz / Pomeranian  120, Zwergpudel  119","Luna  37, Bella  21, Lucky  19, Mia  19, Nala  19, Rocky  19"
Leukerbad,92.0,1.4,6.9,"Kreuzung  25, Chihuahueno  10",
Plaffeien,341.0,5.1,9.4,"Kreuzung  94, Zwergpudel  25, Labrador Retriever  17, Border Collie  15, Chihuahueno  15","Luna  8, Nala  5"
Gambarogno,629.0,12.1,12.2,"Kreuzung  153, Chihuahueno  44, Labrador Retriever  36, Jack Russell Terrier  28, Zwergpudel  26","Kira  12, Stella  10, Luna  6, Paco  6, Lola  5"
Binn,11.0,0.2,8.7,,
Ormont-Dessous,267.0,4.2,22.6,"Kreuzung  51, Chien de Montagne des Pyrenees  22, Border Collie  21, Whippet  15, Chihuahueno  11",
Sils im Engadin/Segl,51.0,0.8,7.1,"Kreuzung  13, Border Collie  5",
La Punt Chamues-ch,99.0,1.6,14.4,"Kreuzung  22, Border Collie  8, Alpenlandische Dachsbracke  5",
Lausanne,6123.0,148.0,4.4,"Kreuzung  1068, Chihuahueno  527, Yorkshire Terrier  397, Franzosische Bulldogge  235, Staffordshire Bull Terrier  223","Luna  80, Lucky  39, Rocky  38, Lola  36, Nina  35"
Gsteig,95.0,1.5,9.7,"Kreuzung  35, Berner Sennenhund  5",
Andermatt,81.0,1.3,5.3,"Kreuzung  20, Border Collie  9, Labrador Retriever  7",
Trub,156.0,2.5,11.9,"Kreuzung  64, Border Collie  13, Berner Sennenhund  9, Entlebucher Sennenhund  6, Appenzeller Sennenhund  5, Deutscher Schaferhund  5, Deutscher Wachtelhund  5",Luna  5
Acquarossa,304.0,4.9,16.8,"Kreuzung  97, Border Collie  20, Australian Shepherd  16, Cane da Pastore Maremmano Abruzzese  15, Pug  13","Jack  6, Lucky  5"
Clos du Doubs,208.0,3.4,16.5,"Kreuzung  65, Border Collie  19, Jack Russell Terrier  10, Ratier du Jura  10, Schweizer Laufhund  10",
Isenthal,31.0,0.5,6.5,"Kreuzung  10, Deutscher Schaferhund  5",
Schiers,195.0,3.2,7.2,"Kreuzung  52, Border Collie  13, Golden Retriever  9, Labrador Retriever  7, Chihuahueno  6, Deutscher Schaferhund  6, Flat Coated Retriever  6, Nova Scotia Duck Tolling Retriever  6",
Ormont-Dessus,115.0,1.9,7.8,"Kreuzung  20, Chihuahueno  13, Border Collie  7, Labrador Retriever  7",
St. Stephan,95.0,1.6,7.3,"Kreuzung  21, Border Collie  19, Labrador Retriever  7, Jack Russell Terrier  5",
Eggiwil,325.0,5.4,13.1,"Kreuzung  98, Labrador Retriever  58, Schweizer Laufhund  16, Border Collie  14, Siberian Husky  14","Kira  6, Sina  5"
Haut-Intyamon,140.0,2.3,8.8,"Kreuzung  26, Border Collie  11, Franzosische Bulldogge  10, Jack Russell Terrier  8, Labrador Retriever  7",Luna  5
Crans-Montana,903.0,15.1,8.8,"Kreuzung  151, Chihuahueno  55, Yorkshire Terrier  47, Jack Russell Terrier  39, Australian Shepherd  37","Luna  16, Jack  6, Laïka  6, Maya  6, Plume  6, Rocky  6"
Ollon,628.0,10.5,8.2,"Kreuzung  105, Border Collie  36, Chihuahueno  35, Labrador Retriever  31, Yorkshire Terrier  30","Luna  8, Max  6, Nala  6, Maya  5"
Sumiswald,502.0,8.5,10.0,"Kreuzung  148, Labrador Retriever  32, Berner Sennenhund  28, Border Collie  25, Golden Retriever  15, Jack Russell Terrier  15","Kira  8, Luna  6"
Biasca,489.0,8.3,8.0,"Kreuzung  122, Chihuahueno  40, Franzosische Bulldogge  20, Border Collie  18, Labrador Retriever  18","Kira  8, Jack  6, Rocky  5, Whisky  5"
Erstfeld,195.0,3.3,5.1,"Kreuzung  56, Chihuahueno  9, Border Collie  8, Franzosische Bulldogge  7, Berner Sennenhund  6, Labrador Retriever  6, Zwergspitz / Pomeranian  6",
Rossa,25.0,0.4,16.6,"Kreuzung  5, Zwerg-Dachshund  5",
Täsch,80.0,1.4,5.9,"Kreuzung  14, Chihuahueno  7, Labrador Retriever  7, Zwergspitz / Pomeranian  7, Yorkshire Terrier  6",
Grengiols,39.0,0.7,9.0,Kreuzung  8,
Lauenen,67.0,1.1,8.1,"Kreuzung  19, Golden Retriever  6",
Liddes,75.0,1.3,10.2,"Border Collie  19, Kreuzung  11",
Schwende-Rüte,377.0,3.8,6.3,"Kreuzung  103, Appenzeller Sennenhund  36, Labrador Retriever  21, Beagle  11, Berner Sennenhund  11","Bläss  10, Luna  8, Kira  5"
Sachseln,245.0,4.5,4.8,"Kreuzung  68, Chihuahueno  12, Lagotto Romagnolo  12, Appenzeller Sennenhund  11, Border Collie  11",Kira  6
Rüschegg,305.0,5.3,18.0,"Kreuzung  80, Deutscher Schaferhund  32, Border Collie  14, Labrador Retriever  13, Zwergspitz / Pomeranian  9",
Zuoz,92.0,1.4,7.7,"Kreuzung  17, Border Collie  7, Labrador Retriever  7",
Alpnach,335.0,6.2,5.5,"Kreuzung  69, Labrador Retriever  22, Chihuahueno  19, Yorkshire Terrier  17, Jack Russell Terrier  16",Luna  7
Samnaun,44.0,0.8,5.6,Kreuzung  13,
Entlebuch,339.0,6.0,10.5,"Kreuzung  127, Entlebucher Sennenhund  25, Labrador Retriever  17, Schweizer Laufhund  17, Siberian Husky  14","Bäri  8, Luna  5, Nora  5, Rocky  5"
La Chaux-de-Fonds,2217.0,39.8,6.0,"Kreuzung  393, Chihuahueno  179, Yorkshire Terrier  137, Franzosische Bulldogge  130, Jack Russell Terrier  107","Luna  42, Snoopy  16, Lucky  14, Nala  14, Jack  13, Lola  13, Paco  13, Rocky  13"
Sigriswil,351.0,6.3,7.2,"Kreuzung  82, Labrador Retriever  20, Border Collie  17, Lagotto Romagnolo  13, Jack Russell Terrier  12",
Ayent,408.0,7.4,9.9,"Kreuzung  61, Labrador Retriever  24, Border Collie  23, Chihuahueno  22, Yorkshire Terrier  20","Lucky  8, Luna  5"
Jaun,43.0,0.8,6.8,"Border Collie  8, Kreuzung  7",
Leuk,382.0,6.9,9.6,"Kreuzung  64, Labrador Retriever  22, Chihuahueno  19, Border Collie  17, Yorkshire Terrier  17",Lucky  5
Guggisberg,209.0,3.8,14.0,"Kreuzung  79, Appenzeller Sennenhund  14, Jack Russell Terrier  9, Berner Sennenhund  7, Border Collie  6, Golden Retriever  6, Labrador Retriever  6",Luna  5
Eschenbach (SG),835.0,15.2,8.7,"Kreuzung  260, Chihuahueno  48, Labrador Retriever  35, Siberian Husky  33, Yorkshire Terrier  25","Luna  14, Mia  6, Nero  6, Kira  5, Mira  5"
Grabs,516.0,9.4,7.1,"Kreuzung  191, Border Collie  27, Chihuahueno  24, Labrador Retriever  22, Appenzeller Sennenhund  16","Luna  9, Jimmy  6, Bella  5, Bless  5, Gina  5, Nala  5"
Randa,29.0,0.5,6.8,Kreuzung  6,
Chur,1836.0,33.8,4.9,"Kreuzung  419, Chihuahueno  125, Labrador Retriever  89, Zwergspitz / Pomeranian  65, Franzosische Bulldogge  54","Luna  20, Kira  14, Nala  10, Rocky  10, Bobby  8, Charly  8, Mogli  8"
Estavayer,748.0,18.6,7.5,"Kreuzung  117, Chihuahueno  54, Yorkshire Terrier  48, Border Collie  32, Jack Russell Terrier  31","Lola  8, Luna  7, Rocky  6, Bella  5"
Muntogna da Schons,29.0,0.5,8.0,Kreuzung  12,
Salvan,88.0,1.6,6.1,"Border Collie  9, Siberian Husky  6, Chihuahueno  5, Kreuzung  5, Labrador Retriever  5",
Centovalli,170.0,3.2,15.0,"Kreuzung  59, Golden Retriever  9, Zwergpudel  9, Border Collie  7, Chihuahueno  7",
Schwyz,662.0,12.4,4.3,"Kreuzung  191, Labrador Retriever  35, Chihuahueno  25, Border Collie  19, Zwergspitz / Pomeranian  18","Luna  13, Kira  8, Mira  5, Nala  5, Nero  5"
Bürglen (UR),163.0,3.1,4.1,"Kreuzung  54, Border Collie  9, Labrador Retriever  9, Zwergpudel  9, Chihuahueno  7",
Trun,122.0,2.4,10.5,"Kreuzung  24, Border Collie  21, Zwergspitz / Pomeranian  11, Cane da Pastore Maremmano Abruzzese  9, Bolonka Zwetna  5, Golden Retriever  5",
Arzier-Le Muids,314.0,6.1,10.8,"Kreuzung  45, Chihuahueno  19, Labrador Retriever  16, Golden Retriever  10, Border Collie  9, Coton De Tulear  9",Bella  5
Visperterminen,36.0,0.7,2.7,Kreuzung  6,
Bern,3487.0,67.6,2.6,"Kreuzung  969, Labrador Retriever  164, Chihuahueno  156, Zwergpudel  116, Franzosische Bulldogge  73, Jack Russell Terrier  73","Luna  31, Nala  21, Rocky  21, Kira  17, Leo  16"
Wattwil,677.0,13.2,7.7,"Kreuzung  263, Border Collie  25, Appenzeller Sennenhund  24, Chihuahueno  24, Labrador Retriever  20","Luna  11, Bella  7, Rocky  7, Kira  6, Gina  5, Jimmy  5"
Köniz,1679.0,32.9,4.0,"Kreuzung  482, Labrador Retriever  94, Chihuahueno  68, Zwergpudel  56, Franzosische Bulldogge  51","Luna  19, Rocky  10, Kira  9, Leo  9, Lucy  9, Mila  9"
Habkern,58.0,1.1,9.1,"Kreuzung  19, Appenzeller Sennenhund  7",
Lostallo,148.0,2.9,17.6,"Kreuzung  41, Border Collie  15, Chien de Montagne des Pyrenees  13, Kangal Coban Kopegi  10, Chihuahueno  5, Deutscher Schaferhund  5, Jack Russell Terrier  5, Labrador Retriever  5",
Mosnang,242.0,4.8,8.4,"Kreuzung  78, Labrador Retriever  17, Appenzeller Sennenhund  14, Chihuahueno  11, Border Collie  10",
Flims,198.0,3.9,6.8,"Kreuzung  47, Berner Sennenhund  8, Labrador Retriever  8, Border Collie  7, Golden Retriever  6, Pug  6",
Samedan,163.0,1.4,5.6,"Kreuzung  39, Labrador Retriever  20, Franzosische Bulldogge  7, Border Collie  6, Chihuahueno  6",
Oberems,29.0,0.6,24.2,,
Innerthal,16.0,0.3,9.0,Kreuzung  8,
Seewis im Prättigau,116.0,2.3,8.4,"Kreuzung  30, Border Collie  5, Chien de Berger Belge  5",
Neckertal,0.0,0.0,0.0,,
