year,month,population,01_years_old,12_years_old,23_years_old,34_years_old,45_years_old,56_years_old,67_years_old,78_years_old,89_years_old,910_years_old,1011_years_old,1112_years_old,1213_years_old,1314_years_old,1415_years_old,1516_years_old,1617_years_old,1718_years_old,1819_years_old,1920_years_old,2025_years_old
2017,7,Female,284379,210917,174388,143553,117370.0,97020.0,77697.0,57388.0,41480.0,27832.0,17496.0,10965.0,7191.0,4409.0,2657.0,1379.0,751.0,400.0,191.0,74.0,113.0
2017,8,Female,286981,211934,174057,143961,117553.0,97175.0,77514.0,57581.0,41466.0,27924.0,17609.0,10934.0,7153.0,4391.0,2648.0,1384.0,759.0,404.0,185.0,85.0,109.0
2017,9,Female,288021,213744,174344,145793,117924.0,97280.0,78094.0,57968.0,41824.0,28301.0,17813.0,11047.0,7245.0,4441.0,2630.0,1406.0,758.0,405.0,184.0,87.0,112.0
2017,10,Female,288377,214486,175008,146502,118535.0,97640.0,78155.0,58575.0,41988.0,28507.0,18074.0,11132.0,7333.0,4463.0,2706.0,1441.0,768.0,411.0,197.0,85.0,112.0
2017,11,Female,287933,214630,174488,146660,118809.0,97339.0,78157.0,58676.0,42102.0,28483.0,18332.0,11190.0,7268.0,4490.0,2745.0,1487.0,758.0,418.0,195.0,81.0,109.0
2017,12,Female,286518,215584,175249,146865,119369.0,97976.0,78128.0,59102.0,42265.0,28763.0,18638.0,11315.0,7362.0,4569.0,2835.0,1555.0,763.0,414.0,207.0,84.0,110.0
2018,1,Female,286073,216327,174011,147079,118609.0,97728.0,77849.0,59113.0,41959.0,28754.0,18798.0,11448.0,7229.0,4687.0,2851.0,1563.0,775.0,407.0,210.0,93.0,104.0
2018,2,Female,285281,216645,173456,147575,118792.0,96778.0,78109.0,59351.0,42017.0,28770.0,19126.0,11563.0,7270.0,4678.0,2882.0,1603.0,801.0,398.0,207.0,103.0,103.0
2018,3,Female,284648,216362,172607,147808,118636.0,96073.0,77549.0,59355.0,41949.0,28904.0,19099.0,11643.0,7323.0,4719.0,2883.0,1631.0,818.0,409.0,219.0,101.0,104.0
2018,4,Female,283974,215677,170950,146980,118888.0,95242.0,76944.0,58912.0,41687.0,28734.0,18980.0,11635.0,7244.0,4736.0,2879.0,1630.0,822.0,414.0,216.0,107.0,98.0
2018,5,Female,283061,214455,169847,146864,118759.0,94788.0,76421.0,58633.0,41217.0,28655.0,18792.0,11600.0,7163.0,4706.0,2838.0,1636.0,813.0,410.0,215.0,104.0,97.0
2018,6,Female,282506,212266,169903,145999,118833.0,94752.0,75737.0,58274.0,40957.0,28473.0,18603.0,11529.0,7115.0,4655.0,2782.0,1639.0,807.0,399.0,214.0,100.0,93.0
2018,7,Female,284537,210994,170420,145424,118297.0,94413.0,75155.0,57609.0,40474.0,28284.0,18380.0,11440.0,7040.0,4565.0,2762.0,1639.0,804.0,397.0,203.0,100.0,94.0
2018,8,Female,285799,210896,171415,144880,118360.0,94293.0,75098.0,57207.0,40509.0,28084.0,18257.0,11444.0,7015.0,4512.0,2738.0,1629.0,816.0,377.0,199.0,99.0,97.0
2018,9,Female,287924,210895,172776,145265,119901.0,94427.0,75250.0,57435.0,40802.0,28233.0,18590.0,11550.0,7018.0,4561.0,2767.0,1609.0,847.0,384.0,192.0,98.0,100.0
2018,10,Female,289831,210775,172906,145309,120088.0,94365.0,75315.0,57322.0,40889.0,28194.0,18581.0,11670.0,7010.0,4623.0,2744.0,1644.0,858.0,377.0,192.0,96.0,103.0
2018,11,Female,288031,209981,172733,145117,120528.0,94599.0,75108.0,57389.0,41114.0,28210.0,18577.0,11767.0,7101.0,4557.0,2752.0,1705.0,867.0,385.0,195.0,94.0,101.0
2018,12,Female,289012,210064,172509,145587,120504.0,94873.0,75461.0,57283.0,41349.0,28255.0,18674.0,11929.0,7158.0,4628.0,2791.0,1732.0,906.0,387.0,199.0,99.0,104.0
2019,1,Female,288356,210335,172221,144642,120632.0,94174.0,75388.0,57056.0,41257.0,28094.0,18662.0,11908.0,7258.0,4476.0,2873.0,1727.0,931.0,404.0,202.0,99.0,109.0
2019,2,Female,289275,210405,172109,144020,120892.0,94081.0,74452.0,57189.0,41277.0,28028.0,18667.0,12059.0,7295.0,4508.0,2855.0,1743.0,948.0,422.0,200.0,96.0,116.0
2019,3,Female,289254,210252,171745,143527,120930.0,94108.0,73922.0,56915.0,41422.0,27960.0,18797.0,12036.0,7359.0,4546.0,2884.0,1738.0,960.0,436.0,212.0,103.0,109.0
2019,4,Female,288366,209569,171110,141822,120041.0,94220.0,72907.0,56294.0,41063.0,27720.0,18683.0,12023.0,7299.0,4469.0,2893.0,1715.0,950.0,438.0,205.0,107.0,112.0
2019,5,Female,285198,208410,170499,140675,119611.0,93833.0,72150.0,55867.0,40677.0,27407.0,18545.0,11796.0,7295.0,4418.0,2849.0,1699.0,919.0,439.0,198.0,104.0,104.0
2019,6,Female,283439,207865,169468,140889,118870.0,93942.0,72097.0,55503.0,40443.0,27333.0,18401.0,11739.0,7257.0,4382.0,2837.0,1661.0,924.0,444.0,196.0,106.0,102.0
2019,7,Female,284491,207437,168807,141066,118289.0,93481.0,71926.0,55019.0,40025.0,27006.0,18286.0,11664.0,7164.0,4341.0,2789.0,1633.0,945.0,439.0,185.0,108.0,98.0
2019,8,Female,285233,207232,169715,142135,117937.0,93699.0,72000.0,55109.0,39828.0,27111.0,18251.0,11636.0,7214.0,4312.0,2760.0,1640.0,946.0,450.0,180.0,105.0,101.0
2019,9,Female,287476,207977,169864,143540,118398.0,94974.0,72034.0,55403.0,40127.0,27402.0,18401.0,11855.0,7289.0,4311.0,2805.0,1649.0,947.0,460.0,183.0,103.0,103.0
2019,10,Female,288653,209432,169639,143855,118546.0,95371.0,72287.0,55520.0,40243.0,27644.0,18387.0,12001.0,7386.0,4341.0,2852.0,1629.0,998.0,457.0,189.0,110.0,102.0
2019,11,Female,289681,208378,168655,143998,118489.0,95454.0,72304.0,55175.0,40314.0,27712.0,18304.0,12001.0,7448.0,4424.0,2804.0,1624.0,1001.0,465.0,195.0,100.0,101.0
2019,12,Female,289161,210347,167829,143925,119172.0,95440.0,72622.0,55398.0,40275.0,27922.0,18396.0,11966.0,7549.0,4480.0,2826.0,1654.0,978.0,499.0,200.0,103.0,98.0
2020,1,Female,288579,210700,167582,143899,118529.0,95844.0,72123.0,55509.0,40286.0,27934.0,18318.0,11950.0,7624.0,4549.0,2774.0,1726.0,968.0,513.0,202.0,94.0,100.0
2020,2,Female,288166,212377,167514,143906,118334.0,96058.0,72310.0,54969.0,40442.0,28014.0,18338.0,12002.0,7760.0,4588.0,2784.0,1732.0,972.0,528.0,206.0,94.0,102.0
2020,3,Female,286925,212879,166982,143504,117741.0,96094.0,72280.0,54537.0,40227.0,28161.0,18338.0,12037.0,7728.0,4602.0,2793.0,1734.0,982.0,541.0,210.0,93.0,101.0
2020,4,Female,285531,212086,167206,143756,117287.0,96048.0,72987.0,54293.0,40278.0,28284.0,18411.0,12075.0,7803.0,4661.0,2795.0,1774.0,991.0,543.0,214.0,93.0,99.0
2020,5,Female,285500,209753,166818,143437,116403.0,95804.0,72727.0,53812.0,40112.0,28084.0,18277.0,12021.0,7712.0,4666.0,2765.0,1761.0,983.0,523.0,211.0,91.0,103.0
2020,6,Female,284451,207099,166476,142145,116217.0,94876.0,72364.0,53403.0,39542.0,27675.0,18068.0,11847.0,7545.0,4594.0,2752.0,1733.0,957.0,513.0,219.0,88.0,103.0
2020,7,Female,285448,206238,167055,141591,116798.0,94583.0,72076.0,53361.0,39338.0,27503.0,17929.0,11848.0,7555.0,4555.0,2747.0,1703.0,948.0,521.0,220.0,89.0,102.0
2020,8,Female,287504,205879,167207,142379,117466.0,94106.0,72003.0,53207.0,39245.0,27332.0,17973.0,11821.0,7508.0,4581.0,2744.0,1690.0,927.0,521.0,239.0,84.0,105.0
2020,9,Female,290282,206916,167888,142646,118685.0,94520.0,72943.0,53235.0,39387.0,27415.0,18157.0,11865.0,7604.0,4636.0,2742.0,1696.0,937.0,523.0,234.0,91.0,104.0
2020,10,Female,291649,207837,168774,142621,118972.0,94849.0,73447.0,53388.0,39568.0,27593.0,18326.0,11843.0,7650.0,4667.0,2754.0,1727.0,930.0,514.0,239.0,101.0,104.0
2020,11,Female,292438,208099,167788,142492,119536.0,95214.0,73927.0,53561.0,39474.0,27821.0,18461.0,11821.0,7649.0,4709.0,2794.0,1721.0,932.0,557.0,241.0,97.0,106.0
2020,12,Female,292869,208619,168568,142024,119920.0,95851.0,74120.0,53859.0,39825.0,27790.0,18755.0,11920.0,7715.0,4712.0,2834.0,1716.0,975.0,550.0,253.0,100.0,110.0
2021,1,Female,296395,209482,168318,142257,120014.0,95391.0,74544.0,53652.0,39874.0,27813.0,18842.0,11942.0,7718.0,4804.0,2883.0,1692.0,1030.0,538.0,267.0,104.0,104.0
2021,2,Female,298250,209374,168819,142087,120031.0,95218.0,74655.0,53780.0,39486.0,28068.0,18892.0,11994.0,7736.0,4883.0,2872.0,1720.0,1024.0,548.0,258.0,108.0,111.0
2021,3,Female,297776,209757,168304,141362,119422.0,94524.0,74487.0,53496.0,39099.0,27740.0,18932.0,11967.0,7721.0,4871.0,2893.0,1743.0,1030.0,541.0,268.0,112.0,111.0
2021,4,Female,297421,209266,167850,141174,118983.0,93600.0,73978.0,53627.0,38553.0,27496.0,18880.0,11851.0,7676.0,4861.0,2897.0,1713.0,1047.0,539.0,260.0,111.0,112.0
2021,5,Female,295490,209101,166368,140891,118633.0,93001.0,73714.0,53473.0,38173.0,27368.0,18612.0,11817.0,7607.0,4770.0,2902.0,1668.0,1057.0,529.0,250.0,106.0,115.0
2021,6,Female,294417,208220,165618,140915,117667.0,93149.0,73192.0,53372.0,38032.0,27058.0,18382.0,11782.0,7559.0,4703.0,2856.0,1676.0,1035.0,513.0,246.0,112.0,114.0
2021,7,Female,295187,207807,165743,141224,117204.0,93493.0,72840.0,53177.0,37987.0,26899.0,18300.0,11691.0,7549.0,4753.0,2831.0,1664.0,1010.0,526.0,246.0,111.0,112.0
2021,8,Female,297065,208165,165610,141235,117845.0,93963.0,72388.0,53103.0,37825.0,26834.0,18166.0,11685.0,7508.0,4689.0,2812.0,1667.0,1019.0,513.0,249.0,123.0,109.0
2021,9,Female,299172,209574,166351,142040,118371.0,95074.0,72844.0,53872.0,37930.0,27091.0,18232.0,11812.0,7595.0,4768.0,2867.0,1638.0,1017.0,519.0,256.0,127.0,115.0
2021,10,Female,301806,211355,166825,142838,118579.0,95539.0,73133.0,54341.0,38126.0,27178.0,18466.0,11888.0,7612.0,4842.0,2877.0,1676.0,1012.0,524.0,259.0,126.0,115.0
2021,11,Female,302198,211926,166648,141846,118301.0,95514.0,73062.0,54373.0,37946.0,26953.0,18377.0,11911.0,7525.0,4801.0,2915.0,1680.0,990.0,506.0,276.0,119.0,116.0
2021,12,Female,302079,213683,166318,142754,118089.0,96108.0,73639.0,54460.0,38156.0,27102.0,18400.0,12102.0,7584.0,4844.0,2900.0,1712.0,1000.0,519.0,265.0,126.0,112.0
2022,1,Female,302033,217135,166077,142220,118040.0,96065.0,73413.0,54704.0,37992.0,27160.0,18354.0,12139.0,7597.0,4819.0,2932.0,1707.0,996.0,538.0,266.0,128.0,106.0
2022,2,Female,302088,219679,165550,142710,117976.0,96177.0,73231.0,54957.0,38124.0,26916.0,18514.0,12175.0,7506.0,4868.0,3012.0,1704.0,1014.0,535.0,276.0,117.0,111.0
2022,3,Female,301265,220354,165402,142602,117573.0,95931.0,72848.0,55079.0,38084.0,26721.0,18332.0,12314.0,7470.0,4866.0,2997.0,1710.0,1032.0,528.0,277.0,134.0,107.0
2022,4,Female,300864,220513,164965,142229,117497.0,95615.0,72178.0,54827.0,38183.0,26442.0,18239.0,12284.0,7494.0,4833.0,2992.0,1707.0,1036.0,536.0,269.0,135.0,108.0
2022,5,Female,300709,218818,165323,141004,117045.0,95222.0,71653.0,54560.0,38012.0,26027.0,18176.0,12065.0,7495.0,4787.0,2947.0,1713.0,995.0,554.0,266.0,129.0,110.0
2022,6,Female,299802,217644,165405,140294,116894.0,94298.0,71867.0,54035.0,37877.0,25959.0,18000.0,11887.0,7495.0,4812.0,2908.0,1672.0,984.0,557.0,265.0,131.0,108.0
2022,7,Female,299253,217472,165760,139985,116994.0,93790.0,71913.0,53733.0,37656.0,25930.0,17832.0,11833.0,7386.0,4801.0,2921.0,1660.0,981.0,539.0,272.0,137.0,103.0
2022,8,Female,300271,217664,166141,139406,116685.0,94074.0,72085.0,53175.0,37451.0,25770.0,17749.0,11698.0,7401.0,4742.0,2871.0,1663.0,974.0,535.0,255.0,135.0,107.0
2022,9,Female,300512,218714,167062,139937,117539.0,94378.0,72989.0,53335.0,38058.0,25792.0,17934.0,11748.0,7525.0,4777.0,2926.0,1670.0,937.0,563.0,251.0,135.0,111.0
2022,10,Female,302948,221007,167803,140112,118127.0,94461.0,73246.0,53492.0,38449.0,25960.0,18003.0,11930.0,7559.0,4834.0,2982.0,1681.0,959.0,571.0,248.0,134.0,116.0
2022,11,Female,303470,221486,168048,140085,117518.0,94194.0,73292.0,53377.0,38509.0,25755.0,17901.0,11916.0,7583.0,4761.0,2944.0,1725.0,955.0,561.0,243.0,142.0,118.0
2022,12,Female,302873,223172,168829,139940,118197.0,94119.0,73546.0,53944.0,38504.0,25926.0,18025.0,11916.0,7730.0,4742.0,3025.0,1742.0,952.0,575.0,251.0,144.0,126.0
2023,1,Female,301911,223511,170619,139407,117897.0,94083.0,73518.0,53701.0,38607.0,25889.0,18049.0,11917.0,7739.0,4741.0,3050.0,1761.0,947.0,568.0,263.0,150.0,128.0
2023,2,Female,300968,223705,171880,138800,118127.0,93962.0,73727.0,53514.0,38582.0,25907.0,17912.0,11985.0,7756.0,4728.0,3059.0,1811.0,945.0,563.0,270.0,146.0,129.0
2023,3,Female,298849,223569,171864,138610,117863.0,93604.0,73521.0,53250.0,38674.0,25848.0,17705.0,11940.0,7811.0,4725.0,3059.0,1807.0,959.0,564.0,273.0,143.0,131.0
2023,4,Female,297415,223571,171830,138091,117434.0,93577.0,73254.0,52775.0,38416.0,25929.0,17549.0,11863.0,7845.0,4758.0,3047.0,1805.0,977.0,545.0,288.0,137.0,140.0
2023,5,Female,294370,222584,170547,138032,116312.0,93047.0,72900.0,52231.0,38085.0,25720.0,17223.0,11790.0,7668.0,4746.0,2988.0,1764.0,971.0,531.0,301.0,133.0,137.0
2023,6,Female,291651,220513,170014,137781,115522.0,92886.0,72066.0,52218.0,37619.0,25523.0,17151.0,11682.0,7525.0,4712.0,2979.0,1740.0,961.0,522.0,294.0,127.0,137.0
2023,7,Female,288172,218516,170043,137490,115001.0,93028.0,71604.0,52180.0,37445.0,25333.0,17110.0,11585.0,7544.0,4674.0,2965.0,1751.0,957.0,519.0,295.0,128.0,137.0
