year,month,,ae,ag,al,aq,ar,as,at,au,ax,az,bb,be,bg,br,bz,ca,cl,co,cz,de,dk,dz,ee,eg,es,et,fi,fr,gb,gf,gr,hr,hu,ie,il,ir,is,it,jo,kp,li,lt,lu,lv,ma,mx,na,ne,ng,nl,no,nz,pl,pt,py,ro,rs,ru,sa,sc,sd,se,sg,si,sk,sz,tn,ua,ug,us,uy,wf
2016,12,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,,0.0,0.0,0.0,29,,0.0,0.0,0.0,,0.0,0.0,33,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,1,0.0,0.0,0.0,0.0,0.0,,0.0,19.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,,0.0,0.0,8.0,270,5.0,0.0,0.0,0.0,30.0,0.0,,166,10.0,0.0,0.0,0.0,,37.0,0.0,,38.0,29.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,12.0,11.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,11.0,0.0,0.0
2017,2,,0.0,0.0,0.0,0.0,,0.0,12.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,,134,5.0,0.0,0.0,0.0,10.0,0.0,0.0,75,5.0,0.0,0.0,0.0,5.0,18.0,0.0,0.0,6.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,,0.0,0.0
2017,3,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,,0.0,0.0,,151,9.0,0.0,0.0,0.0,16.0,0.0,0.0,76,7.0,0.0,0.0,0.0,,12.0,0.0,0.0,26.0,11.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,5.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,5.0,,0.0,0.0,0.0,0.0,,0.0,0.0
2017,4,0.0,0.0,0.0,0.0,0.0,21.0,0.0,11.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,,0.0,0.0,0.0,144,,0.0,0.0,0.0,23.0,0.0,0.0,129,,0.0,0.0,0.0,8.0,,0.0,0.0,11.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,,0.0,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0
2017,5,0.0,0.0,0.0,0.0,0.0,37.0,0.0,8.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,,161,,0.0,0.0,0.0,15.0,0.0,0.0,92,8.0,0.0,0.0,,6.0,11.0,0.0,0.0,7.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,5.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,,,0.0
2017,6,,0.0,0.0,0.0,0.0,,0.0,6.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,,0.0,0.0,0.0,157,5.0,0.0,0.0,0.0,11.0,0.0,0.0,68,15.0,0.0,0.0,0.0,,32.0,0.0,0.0,6.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,,0.0,,6.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0
2017,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,,68,,0.0,0.0,0.0,10.0,0.0,0.0,50,7.0,0.0,0.0,0.0,,7.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,21.0,0.0,0.0,6.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2017,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,36,,0.0,0.0,0.0,0.0,0.0,0.0,20,,0.0,0.0,0.0,0.0,,0.0,0.0,7.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0
2017,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,38,0.0,0.0,0.0,0.0,,0.0,0.0,13,,0.0,0.0,0.0,,,0.0,0.0,11.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0
