event_year,breed_type_mother,min,lower_fence,q1,median,q3,upper_fence,max,tot_number_animals
2020,Dairy,10,10,13,14,17,23.0,24,139
2020,Meat,10,10,13,15,17,23.0,25,1063
2021,Dairy,10,10,14,16,22,34.0,35,550
2021,Meat,10,10,14,17,23,35.0,35,3890
2022,Dairy,10,10,14,16,22,34.0,39,918
2022,Meat,10,10,15,18,24,37.5,40,7555
2023,Dairy,10,10,14,17,23,36.5,40,770
2023,Meat,10,10,15,19,24,37.5,40,5398
