year,breed_type_mother,min,lower_fence,q1,median,q3,upper_fence,max,tot_number_animals,tot_number_observations
2020,Dairy,159,159.0,222,291,349,438.0,438,16,17
2020,Meat,182,182.0,206,254,332,370.0,370,10,10
2021,Dairy,134,277.5,336,359,375,433.5,503,2076,2112
2021,Meat,131,279.25,338,361,378,437.25,515,1432,1451
2022,Dairy,132,285.5,341,362,378,433.5,530,3629,5294
2022,Meat,133,268.0,337,362,383,452.0,528,2037,2873
2023,Dairy,131,290.5,343,362,378,430.5,530,2322,4201
2023,Meat,144,264.0,336,361,384,456.0,529,1039,1787
