year,month,ag,ai,ar,be,bl,bs,fl,fr,ge,gl,gr,ju,lu,ne,nw,ow,sg,sh,so,sz,tg,ti,ur,vd,vs,zg,zh,
2018,7,8.0,0.0,0.0,,,0.0,0.0,,,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,11.0,,0.0,8.0,25.0
2018,8,5.0,0.0,0.0,6.0,0.0,0.0,0.0,,,0.0,0.0,5.0,,0.0,0.0,0.0,0.0,,,0.0,,,0.0,7.0,0.0,,10.0,36.0
2018,9,,0.0,0.0,8.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,,,0.0,5.0,0.0,,8.0,26.0
2018,10,8.0,,0.0,34.0,,0.0,5.0,,16.0,0.0,,29.0,,0.0,0.0,0.0,,0.0,7.0,0.0,6.0,,0.0,8.0,,,11.0,91.0
2018,11,10.0,0.0,,23.0,0.0,0.0,0.0,8.0,6.0,0.0,,25.0,5.0,0.0,0.0,0.0,,0.0,7.0,0.0,6.0,7.0,0.0,5.0,,,5.0,57.0
2018,12,,0.0,0.0,18.0,,0.0,0.0,6.0,5.0,0.0,,12.0,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,7.0,0.0,,7.0,40.0
2019,1,5.0,0.0,0.0,7.0,,0.0,0.0,,5.0,0.0,,8.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,10.0,0.0,,6.0,35.0
2019,2,0.0,0.0,0.0,,,0.0,0.0,6.0,,0.0,0.0,,,0.0,0.0,0.0,,,,0.0,,0.0,0.0,11.0,,0.0,,26.0
2019,3,7.0,0.0,0.0,,0.0,0.0,0.0,,8.0,0.0,,,,0.0,0.0,0.0,,0.0,,,,,0.0,,0.0,,,20.0
2019,4,,0.0,0.0,11.0,,0.0,0.0,5.0,,0.0,,6.0,6.0,,0.0,0.0,,0.0,,0.0,5.0,7.0,0.0,11.0,,,,27.0
2019,5,,0.0,0.0,13.0,,0.0,,5.0,,0.0,,5.0,,0.0,0.0,0.0,,,5.0,,,0.0,0.0,8.0,,0.0,6.0,33.0
2019,6,5.0,0.0,0.0,8.0,0.0,0.0,,8.0,,0.0,0.0,7.0,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,7.0,15.0,0.0,,46.0
2019,7,5.0,0.0,0.0,7.0,,0.0,,,,0.0,,,,,0.0,0.0,,,,,5.0,,0.0,10.0,0.0,0.0,10.0,22.0
2019,8,9.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,,12.0,,0.0,0.0,0.0,,0.0,,,6.0,0.0,0.0,7.0,,,6.0,16.0
2019,9,,0.0,0.0,10.0,0.0,0.0,0.0,11.0,,0.0,,10.0,7.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,12.0,27.0
2019,10,,0.0,,19.0,,0.0,0.0,11.0,,0.0,0.0,28.0,8.0,0.0,0.0,0.0,,,6.0,,,,0.0,12.0,,,12.0,44.0
2019,11,8.0,0.0,,25.0,,0.0,,13.0,,0.0,,20.0,5.0,,,0.0,,0.0,,0.0,0.0,,0.0,,,,6.0,40.0
2019,12,7.0,0.0,0.0,13.0,0.0,0.0,,8.0,,0.0,13.0,20.0,10.0,,0.0,0.0,,0.0,,,7.0,0.0,0.0,85.0,10.0,,,29.0
2020,1,,0.0,0.0,17.0,0.0,0.0,0.0,,,0.0,0.0,6.0,,,0.0,0.0,,0.0,,0.0,6.0,0.0,0.0,,0.0,,,36.0
2020,2,,0.0,,9.0,0.0,0.0,0.0,,,0.0,,,0.0,,0.0,0.0,,0.0,0.0,0.0,,,0.0,10.0,,0.0,,22.0
2020,3,,0.0,0.0,8.0,,0.0,0.0,6.0,7.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,,0.0,6.0,0.0,9.0,0.0,0.0,,,,13.0,25.0
2020,4,,0.0,0.0,,,0.0,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,,6.0
2020,5,,0.0,0.0,5.0,,0.0,,,,,,6.0,,0.0,0.0,0.0,,0.0,,,,,0.0,,,,10.0,27.0
2020,6,0.0,,0.0,7.0,,0.0,0.0,,,0.0,0.0,14.0,,0.0,0.0,,,0.0,,0.0,,,0.0,10.0,,0.0,8.0,28.0
