year,month,breedtype,age1year,age1year,tot
2019,2,Esel,,10.0,10.0
2019,2,Hofische Rasse,,,
2019,2,Iberer,,,
2019,2,Kaltblut,14.0,28.0,42.0
2019,2,Maultier-Maulesel,,,
2019,2,Ponys und Kleinpferde,,9.0,9.0
2019,2,Vollblut,,,
2019,2,Warmblut,,36.0,36.0
2019,2,Wildequiden,,,
2019,3,Esel,,,
2019,3,Hofische Rasse,,,
2019,3,Iberer,,,
2019,3,Kaltblut,48.0,35.0,83.0
2019,3,Maultier-Maulesel,,,
2019,3,Ponys und Kleinpferde,,22.0,22.0
2019,3,Vollblut,,,
2019,3,Warmblut,,32.0,32.0
2019,3,Wildequiden,,,
2019,4,Esel,,,
2019,4,Hofische Rasse,,,
2019,4,Iberer,,,
2019,4,Kaltblut,7.0,47.0,54.0
2019,4,Maultier-Maulesel,,,
2019,4,Ponys und Kleinpferde,,19.0,19.0
2019,4,Vollblut,,,
2019,4,Warmblut,,42.0,42.0
2019,4,Wildequiden,,,
2019,5,Esel,,15.0,15.0
2019,5,Hofische Rasse,,,
2019,5,Iberer,,,
2019,5,Kaltblut,7.0,29.0,36.0
2019,5,Maultier-Maulesel,,,
2019,5,Ponys und Kleinpferde,,20.0,20.0
2019,5,Vollblut,,,
2019,5,Warmblut,,35.0,35.0
2019,5,Wildequiden,,,
2019,6,Esel,,6.0,6.0
2019,6,Hofische Rasse,,,
2019,6,Iberer,,,
2019,6,Kaltblut,,27.0,27.0
2019,6,Maultier-Maulesel,,,
2019,6,Ponys und Kleinpferde,,13.0,13.0
2019,6,Vollblut,,,
2019,6,Warmblut,,28.0,28.0
2019,6,Wildequiden,,,
2019,7,Esel,,,
2019,7,Hofische Rasse,,,
2019,7,Iberer,,,
2019,7,Kaltblut,,28.0,28.0
2019,7,Maultier-Maulesel,,,
2019,7,Ponys und Kleinpferde,,14.0,14.0
2019,7,Vollblut,,,
2019,7,Warmblut,,32.0,32.0
2019,7,Wildequiden,,,
2019,8,Esel,,,
2019,8,Hofische Rasse,,,
2019,8,Iberer,,,
2019,8,Kaltblut,6.0,32.0,38.0
2019,8,Maultier-Maulesel,,,
2019,8,Ponys und Kleinpferde,,8.0,8.0
2019,8,Vollblut,,,
2019,8,Warmblut,,34.0,34.0
2019,8,Wildequiden,,,
2019,9,Esel,,,
2019,9,Hofische Rasse,,,
2019,9,Iberer,,,
2019,9,Kaltblut,15.0,38.0,53.0
2019,9,Maultier-Maulesel,,,
2019,9,Ponys und Kleinpferde,6.0,23.0,29.0
2019,9,Vollblut,,,
2019,9,Warmblut,,39.0,39.0
2019,9,Wildequiden,,,
2019,10,Esel,,15.0,15.0
2019,10,Hofische Rasse,,,
2019,10,Iberer,,,
2019,10,Kaltblut,320.0,37.0,357.0
2019,10,Maultier-Maulesel,,,
2019,10,Ponys und Kleinpferde,21.0,16.0,37.0
2019,10,Vollblut,,,
2019,10,Warmblut,,37.0,37.0
2019,10,Wildequiden,,,
2019,11,Esel,7.0,8.0,15.0
2019,11,Hofische Rasse,,,
2019,11,Iberer,,,
2019,11,Kaltblut,223.0,55.0,278.0
2019,11,Maultier-Maulesel,,,
2019,11,Ponys und Kleinpferde,22.0,22.0,44.0
2019,11,Vollblut,,,
2019,11,Warmblut,,51.0,51.0
2019,11,Wildequiden,,,
2019,12,Esel,,6.0,6.0
2019,12,Hofische Rasse,,,
2019,12,Iberer,,,
2019,12,Kaltblut,68.0,30.0,98.0
2019,12,Maultier-Maulesel,,,
2019,12,Ponys und Kleinpferde,8.0,22.0,30.0
2019,12,Vollblut,,,
2019,12,Warmblut,,29.0,29.0
2019,12,Wildequiden,,,
2020,1,Esel,,17.0,17.0
2020,1,Hofische Rasse,,,
2020,1,Iberer,,,
2020,1,Kaltblut,26.0,44.0,70.0
2020,1,Maultier-Maulesel,,,
2020,1,Ponys und Kleinpferde,,28.0,28.0
2020,1,Vollblut,,,
2020,1,Warmblut,,42.0,42.0
2020,1,Wildequiden,,,
2020,2,Esel,,11.0,11.0
2020,2,Hofische Rasse,,,
2020,2,Iberer,,,
2020,2,Kaltblut,14.0,46.0,60.0
2020,2,Maultier-Maulesel,,,
2020,2,Ponys und Kleinpferde,,15.0,15.0
2020,2,Vollblut,,,
2020,2,Warmblut,,34.0,34.0
2020,2,Wildequiden,,,
2020,3,Esel,,15.0,15.0
2020,3,Hofische Rasse,,,
2020,3,Iberer,,,
2020,3,Kaltblut,16.0,31.0,47.0
2020,3,Maultier-Maulesel,,,
2020,3,Ponys und Kleinpferde,,14.0,14.0
2020,3,Vollblut,,,
2020,3,Warmblut,,38.0,38.0
2020,3,Wildequiden,,,
2020,4,Esel,,10.0,10.0
2020,4,Hofische Rasse,,,
2020,4,Iberer,,,
2020,4,Kaltblut,8.0,25.0,33.0
2020,4,Maultier-Maulesel,,,
2020,4,Ponys und Kleinpferde,7.0,13.0,20.0
2020,4,Vollblut,,,
2020,4,Warmblut,,24.0,24.0
2020,4,Wildequiden,,,
2020,5,Esel,,,
2020,5,Hofische Rasse,,,
2020,5,Iberer,,,
2020,5,Kaltblut,9.0,23.0,32.0
2020,5,Maultier-Maulesel,,,
2020,5,Ponys und Kleinpferde,,13.0,13.0
2020,5,Vollblut,,,
2020,5,Warmblut,,30.0,30.0
2020,5,Wildequiden,,,
2020,6,Esel,,11.0,11.0
2020,6,Hofische Rasse,,,
2020,6,Iberer,,,
2020,6,Kaltblut,7.0,28.0,35.0
2020,6,Maultier-Maulesel,,,
2020,6,Ponys und Kleinpferde,,16.0,16.0
2020,6,Vollblut,,,
2020,6,Warmblut,,24.0,24.0
2020,6,Wildequiden,,,
2020,7,Esel,,8.0,8.0
2020,7,Hofische Rasse,,,
2020,7,Iberer,,,
2020,7,Kaltblut,,17.0,17.0
2020,7,Maultier-Maulesel,,,
2020,7,Ponys und Kleinpferde,,11.0,11.0
2020,7,Vollblut,,,
2020,7,Warmblut,,26.0,26.0
2020,7,Wildequiden,,,
2020,8,Esel,,6.0,6.0
2020,8,Hofische Rasse,,,
2020,8,Iberer,,,
2020,8,Kaltblut,6.0,20.0,26.0
2020,8,Maultier-Maulesel,,,
2020,8,Ponys und Kleinpferde,,17.0,17.0
2020,8,Vollblut,,,
2020,8,Warmblut,,33.0,33.0
2020,8,Wildequiden,,,
2020,9,Esel,,,
2020,9,Hofische Rasse,,,
2020,9,Iberer,,,
2020,9,Kaltblut,15.0,30.0,45.0
2020,9,Maultier-Maulesel,,,
