year,month,apportier_stoeber_wasserhunde,dachshunde,gesellschaftsund_begleithunde,hueteund_treibhunde,laufund_schweisshunde,pinscher_schnauzer_molosser,spitzeund_urtyp_hunde,terrier,undefined,vorstehhunde,windhunde
2022,10,56930,8007,110644,60659,15760,46093,30524,57779,153001,11329,5462
2022,11,56922,8033,110797,60743,15755,46142,30704,57863,153269,11316,5482
2022,12,56958,8031,110788,60730,15723,45977,30861,57731,153468,11290,5472
2023,1,57027,8055,110909,60843,15699,46016,31085,57697,153688,11288,5495
2023,2,57038,8082,111017,60947,15686,45985,31250,57613,153774,11263,5501
2023,3,57232,8111,111163,61164,15726,46001,31402,57489,154027,11282,5539
2023,4,57354,8177,111248,61349,15784,46115,31586,57470,154381,11302,5534
2023,5,57397,8223,111256,61481,15787,46168,31672,57471,154741,11301,5539
2023,6,57344,8238,111008,61316,15779,45995,31681,57261,154546,11307,5521
2023,7,57154,8229,110776,61140,15744,45819,31665,57073,154312,11289,5529
